,filename,entry number,composition,OH_length 1,OH_length 2,OO_length,OOH angle 1,OOH angle 2,OH_length 1b,OH_length 2b,OO_lengthb,OOH angle 1b,OOH angle 2b,bulk_id,miller_index,nads,traj_id,bulk_symbols,slab_sid,ads_symbols,y_relaxed,natoms,nads2,adsorption_energy
35639,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,251,HBe24Na24O34,4.302817626503751,0.9673483717908896,3.390396505186088,4.821645791676218,158.0450127639721,,,,,,mp-754663,"(1, 1, -1)",1,Na2Be2O3_mp-754663_7hK9LA0JFt_ICmT1P3wnc,Na4Be4O6,21926,HO2,-453.20701137,83,1,-4.494268619999989
34910,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,252,HO36Sc36,2.739399715896336,2.236889765964131,2.8891479684685217,46.740026556084395,63.106777677163635,,,,,,mp-644481,"(3, 1, 0)",1,ScO_mp-644481_IKux2kiwmd_NDjFze8Vce,Sc4O4,22939,HO2,-604.20092188,73,1,-4.813522190000047
5633,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,262,HAl4Cu28O50,1.8686606907322605,0.9854583063377432,1.4027451580229815,31.111204143306125,101.53975057474571,,,,,,mp-1262593,"(1, 1, 0)",1,AlCu7O12_mp-1262593_y5euRI8Eqc_eAIHNFTRfa,Al2Cu14O24,22677,HO2,-419.58318444,83,1,1.9301300899999452
69701,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,281,HLi80O62Zr12,2.9795390646192974,0.9679584192836835,2.9812015924115016,18.691146395241578,80.55732394607352,,,,,,mp-755225,"(1, 0, -2)",1,Li8ZrO6_mp-755225_JQit4t6l1a_9Chjw6maiO,Li24Zr3O18,78410,HO2,-897.46962413,155,1,-6.929457930000101
70303,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,282,HFe12Mo18O46,2.7748866017553047,0.9769707798240714,2.9399949630109647,19.408610948830493,70.70654331625288,,,,,,mp-504974,"(1, 0, 0)",1,Fe2Mo3O8_mp-504974_xpgLswQqwe_6skpWYx450,Fe4Mo6O16,74339,HO2,-532.72188016,77,1,-1.13233880999994
70527,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,303,HO48Sb16Tl16,1.8896907220983599,9.709864629730058,10.152121758814925,71.21560462412899,10.617394247674495,,,,,,mp-30058,"(1, 0, -2)",1,TlSbO3_mp-30058_8nKM3WzauF_nhcAW61Tws,Tl6Sb6O18,75235,HO2,-441.52651085,81,1,4.569136170000004
7358,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,312,HO28Sn16Ti8,3.290419457500022,0.9714301900282136,3.107682291030494,17.158972210228686,92.14033198882767,,,,,,mp-18288,"(1, 0, 0)",1,Ti-SnO2-2_mp-18288_K9dMqGCDMw_OUwEw6i4Iw,Ti4Sn8O16,28683,HO2,-362.17454464,53,1,-1.524210930000013
26772,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,314,HLi16O48Sb16,2.291931030475782,1.5891316083564315,1.3441173067847683,42.61397083433235,102.4496723763497,,,,,,mp-4995,"(1, 1, 1)",1,LiSbO3_mp-4995_JIERemZmBj_RKGjpYImqc,Li4Sb4O12,9638,HO2,-465.39438988,81,1,3.450510199999965
25595,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,318,HAl32O46,0.9717046277574548,2.6601413201905375,2.719575209511288,76.16384083484233,20.774070515992904,,,,,,mp-7048,"(2, 2, 1)",1,Al2O3_mp-7048_lz7iCj87kU_rxYzbk4FXf,Al8O12,11261,HO2,-562.6907044,79,1,-4.536017259999969
41638,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,331,HFe10O44Ta10,9.845262503019008,8.788861115810203,1.369235165764925,36.901226487856995,137.73128424433492,,,,,,mp-755628,"(1, 0, 1)",1,634070213497_TaFeO4_mp-755628_0BQbGAQocc_j9bw4ouxsX,Ta2Fe2O8,44074,HO2,-518.23492798,65,1,4.088601120000046
25782,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,338,HO47Sb7Zn27,1.8972965540616042,0.9792941004097556,1.4699947971622083,30.592829754547587,99.59366789043402,,,,,,mp-1215862,"(1, 0, 0)",1,Zn7-SbO6-2_mp-1215862_QL0PB5nLgv_i5Yy4FDOCK,Zn14Sb4O24,31446,HO2,-392.10820172,82,1,4.032340739999963
26134,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,352,HO46Se16,9.088774170583548,0.9877813316924186,9.140488746111984,6.2038636610676585,83.90141815556993,,,,,,mp-27519,"(0, 0, 1)",1,SeO3_mp-27519_0QAdzdrf7E_ZVPl23m18L,Se8O24,31775,HO2,-309.30534734,63,1,4.768904169999953
42558,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,391,HCd10Ir8O28,10.675531152767258,10.39232609891565,1.4922362405824003,75.09845786884209,96.92537667575282,,,,,,mp-1016828,"(1, 1, 1)",1,414325470_CdIrO3_mp-1016828_cAtySlNKjX_EJtYbhWwnz,Cd1Ir1O3,42394,HO2,-247.74043965,47,1,3.676604099999988
77339,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,402,HCo16Cr6O42,6.629293037414582,9.043267961678668,10.420692462005698,59.19422954611649,39.02317369307617,,,,,,mp-752462,"(1, 1, 0)",1,Cr-CoO3-2_mp-752462_JC4jw9qNiq_eeMTtxCWV4,Cr2Co4O12,79435,HO2,-388.226913,65,1,0.2315799899999682
38401,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,406,HCu16O30Se8,7.000654847340047,7.6331502405895,1.4836913068389352,109.85178019253192,59.61393584941979,,,,,,mp-560561,"(0, 1, 0)",1,Cu2SeO4_mp-560561_VsThKKa2po_KXV8Ue4unI,Cu8Se4O16,39045,HO2,-266.81903613,55,1,3.4415873100000134
34598,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,421,HBi12O41Y14,2.8070596951729447,2.5649151789008293,1.3687424634381786,65.60132152611511,85.32180126702163,,,,,,mp-768221,"(2, -1, 2)",1,YBiO3_mp-768221_uiDRM9VKX4_BN2azImz8v,Y6Bi6O18,20093,HO2,-490.23840112,68,1,2.648686399999999
8676,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,426,HMg36O48Zn12,6.494095024283879,1.0144397692603546,5.509058589344613,2.3227943940001943,164.96229162305912,,,,,,mp-1222124,"(3, 1, 0)",1,Mg3ZnO4_mp-1222124_kLIswDBqgp_jBWZolbt5O,Mg3Zn1O4,25169,HO2,-518.5388426,97,1,-1.65883626999997
16178,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,437,HBe42Ca14O58,1.8724078087982363,0.9801207681048275,1.405551710448205,30.806653535077395,101.93316805782987,,,,,,mp-754739,"(2, -1, 2)",1,CaBe3O4_mp-754739_j05p7fAQls_F9cDRWFkmW,Ca2Be6O8,13409,HO2,-771.72425251,115,1,4.538812509999982
41876,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,438,HIr16Mo14O62,7.180286586804523,0.9769168337381883,6.928232665663224,7.672975371045764,101.08121817506279,,,,,,MoIrO4-rutile,"(1, 0, 2)",1,414325470_MoIrO4_MoIrO4-rutile_iC5cz3PgiX_aiqJ9pxxR3,Mo1Ir1O4,42969,HO2,-641.30924167,93,1,4.461134570000038
16123,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,439,HCd16O58Ru16,4.467417986781249,0.9728586839511174,4.1342697870797265,12.209035785383175,103.80286699561957,,,,,,mp-505552,"(1, 0, 0)",1,Cd2Ru2O7_mp-505552_80U2GKvWvc_4PeBj0iCsI,Cd16Ru16O56,1728,HO2,-529.33403553,91,1,0.62381990999992
12700,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,440,HCa4O28W8,8.64029205156662,0.9794318126921142,7.920065776906894,4.598471670509463,134.9876288922892,,,,,,mvc-7394,"(1, 0, 0)",1,CaW2O7_mvc-7394_ecw95LKVQe_MlTOBk8PB9,Ca2W4O14,6813,HO2,-287.40364579,41,1,2.2761967600000297
13516,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,449,HCa8O64Sn32,1.9053834502014908,0.9789651609985003,1.4731176499903813,30.394169564433536,100.02402312461929,,,,,,mvc-10708,"(0, 1, 0)",1,Ca-SnO2-4_mvc-10708_bIs3EsgeYM_paZJMO7jt9,Ca2Sn8O16,2562,HO2,-622.945838,105,1,2.5892807499999684
71329,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,459,HCu12O74Ta32,2.2406991032811487,0.9780660749691886,2.5983411864255745,21.74667308158377,58.081875727740005,,,,,,mp-675320,"(1, 0, 0)",1,Ta2CuO6_mp-675320_5Xef75NiMJ_a0N6baC8xL,Ta8Cu4O24,72480,HO2,-1046.82790825,119,1,-11.071172050000062
39415,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,470,HAg28Bi16O46,1.9120339432180182,0.9800310514680193,1.460097483140984,30.167161058412734,101.35622296020804,,,,,,mp-558712,"(0, 0, 1)",1,Ag2BiO3_mp-558712_kJQe6zdDRh_2CIAAlATIM,Ag8Bi4O12,15110,HO2,-422.04333679,91,1,4.535215389999987
22561,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,503,HBi16O42Rh12,1.90412858110083,0.9778495823210568,1.4818426804854996,30.440030424560685,99.4066771204087,,,,,,mp-573119,"(1, 1, 0)",1,BiRhO3_mp-573119_lhzZH9zNll_6AITjTLFfL,Bi4Rh4O12,13111,HO2,-423.52284667,71,1,2.6032978700000307
32078,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,531,HO48Rb14Y14,2.3291570038834077,1.7268974963035195,1.300325346998003,46.96690071331858,99.63860427695437,,,,,,mp-975173,"(2, 1, 1)",1,RbYO3_mp-975173_5Odme7poDF_rt0rjcAwQq,Rb1Y1O3,13270,HO2,-474.68782363,77,1,8.602617509999984
12591,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,533,HO26Zn24,7.801018926745819,0.9739931835178426,7.9272416161624095,7.041048433455571,79.04753350309473,,,,,,mp-1093993,"(2, 0, 1)",1,ZnO_mp-1093993_5tkIYNPPm8_w2b0jYjhni,Zn4O4,23964,HO2,-220.62010365,51,1,3.417230679999985
82361,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,558,HAl10O3Zr16,3.8465773429991685,0.9756268680287322,3.528533129185236,14.381896266228177,101.67926513251066,,,,,,mp-1215691,"(1, 0, 1)",1,1028014_Zr10Al6O_mp-1215691_o5kzct9axT_5mpENdKjJw,Zr10Al6O1,81954,HO2,-200.14030313,30,1,-4.632815310000016
18612,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,559,HAg24Mn24O48,1.9210403152531872,0.9801795429772393,1.4804393418451784,30.092133654253868,100.68197865189542,,,,,,mp-997162,"(1, 0, 0)",1,MnAgO2_mp-997162_t6lAA4zMgb_ro06o18qH3,Mn2Ag2O4,26858,HO2,-574.95952348,97,1,4.1279643399999735
31561,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,561,HO50Ti60,11.92991957382325,0.9765827829312655,11.329550885364732,3.796677277111441,126.01198521151633,,,,,,mp-1071163,"(3, 0, 2)",1,TiO_mp-1071163_MooWaTJ8Mq_RdvGyOD8KE,Ti3O3,81299,HO2,-943.46364284,111,1,-4.9718233499999975
14644,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,564,HCa16Ga15O38,5.759538116409372,0.9732295683063434,5.207864591459921,8.395301985383751,120.22740060469985,,,,,,mp-16433,"(1, 0, 1)",1,Ca2Ga2O5_mp-16433_zVLsoqx4wB_wf2wvh40LQ,Ca8Ga8O20,14844,HO2,-424.47197133,70,1,-2.2039047699999834
45459,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,606,HAs12Co18O52,1.8918405159687401,0.9839599604858872,1.464498770154153,30.88118966545882,99.30769232503198,,,,,,CoAsO4-rutile,"(1, 0, 0)",1,414325470_CoAsO4_CoAsO4-rutile_YYXPAwavpQ_TG33daD8x8,Co1As1O4,45103,HO2,-484.48648087,83,1,3.089188860000004
26301,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,624,HK8O20Ti8,2.167154182099693,11.559813831654518,9.597812799486995,152.24807218468848,5.008054343809548,,,,,,mp-28075,"(0, 0, 1)",1,K2Ti2O5_mp-28075_febpQHC2yi_NFRbvxisoi,K4Ti4O10,80774,HO2,-263.92307362,37,1,-1.850048150000024
38985,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,633,HBa18O43Pd18,11.304627628329285,1.018462807522773,12.265089111937872,1.6485710612391051,18.62225448974043,,,,,,mp-984876,"(3, 1, 0)",1,Ba2Pd2O5_mp-984876_2RUK7qNICt_yGtjH9Vf9I,Ba2Pd2O5,17747,HO2,-448.68048758,80,1,3.067910750000035
9780,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,655,HCu20O50Si16,13.178386314625211,0.980568242685288,12.992582412588455,4.216766465041508,98.80691764935519,,,,,,mp-25205,"(2, -1, 0)",1,Cu5-Si2O7-2_mp-25205_uQ8qHKUABv_CBWhWVlHCC,Cu5Si4O14,11803,HO2,-540.69203083,87,1,0.1509472699999854
4818,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,668,HAg24Al24O46,1.9243597192185362,0.979776078537105,1.4968074914956069,30.106457116356804,99.86997941996837,,,,,,mp-9631,"(3, -1, 0)",1,AlAgO2_mp-9631_PNnvzGn24O_XITJ1znCII,Al2Ag2O4,15189,HO2,-549.03422778,95,1,2.718973089999988
1203,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,689,HBi16Ca20O42,3.1577843934486483,1.0640396671998573,3.2534728735650043,19.03051302648345,75.39637181087059,,,,,,mp-28848,"(0, 0, 1)",1,Ca2Bi2O5_mp-28848_SodDcZcwEN_qNTngP2ngw,Ca12Bi12O30,459,HO2,-463.95227751,79,1,-1.1729071000000069
15075,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,714,HBa4Ni18O34,4.076745260929941,12.412783598374542,9.353212842631104,130.94310090921508,14.36416327908074,,,,,,mvc-1347,"(1, 0, 0)",1,BaNi4O7_mvc-1347_Fy3sRmO3OQ_cz7dXSY8na,Ba2Ni8O14,40199,HO2,-261.86015162,57,1,3.168647449999977
36804,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,725,HCr12Li12O26,5.532553830002483,5.479461106983205,1.4638937918949215,80.30564130898384,84.42571462206385,,,,,,mp-18793,"(0, 1, 0)",1,LiCrO2_mp-18793_tTjDHbA5wX_uocaEWA6fL,Li2Cr2O4,2810,HO2,-332.49062594,51,1,2.8903254600000103
11293,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,743,HO58Rb20Ru18,1.8579728459557487,1.0348514466877576,1.4421097995030137,33.6508471482009,95.79687907932409,,,,,,mp-975208,"(2, 2, 1)",1,RbRuO3_mp-975208_pd7otkJGlS_HBiiHMBp5S,Rb1Ru1O3,81073,HO2,-577.52373353,97,1,3.2538662299999963
32779,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,752,HBi20Ni6O42,5.66119766094483,6.081406268569497,1.2399597364734967,104.00178995103717,64.58779459203127,,,,,,mp-675540,"(1, 0, -1)",1,Ni3-BiO2-10_mp-675540_zhp4Rs7Oh5_s6WswZFq2r,Ni6Bi20O40,80920,HO2,-367.02322182,69,1,3.551871239999993
7262,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,757,HNi36O52Zn24,1.9842587717695315,0.986188925122208,1.5245695012616887,29.052079808909603,102.29637204674445,,,,,,mp-759178,"(0, 1, 2)",1,Zn2Ni3O5_mp-759178_5tuyctWOC3_d3D1K5o9Ly,Zn4Ni6O10,81042,HO2,-462.41668468,113,1,2.561666330000005
20200,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,762,HBa32Hf24O66,3.0864737931866713,0.9731026280325511,3.1371295464338047,17.966993350443047,78.0692054394636,,,,,,mp-779519,"(1, 1, 0)",1,Ba4Hf3O10_mp-779519_U9TCIHnRRy_Q3Pf66rQT2,Ba16Hf12O40,21138,HO2,-966.08729725,123,1,-6.1006947599999855
14267,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,778,HO24Zr72,8.995314887642312,10.430557568247075,3.4643178028722827,104.76065781917725,56.50559855499753,,,,,,mp-561418,"(1, 0, 1)",1,Zr3O_mp-561418_8fJY6POrB9_Kd9qg8sXSV,Zr36O12,12442,HO2,-841.99077482,97,1,-5.855464759999993
7536,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,789,HCa16Mo30O66,7.865098522522766,0.9908559680072817,8.741412381899165,3.196027800948184,26.26630173116734,,,,,,mp-1539672,"(1, 1, 0)",1,Ca-MoO2-2_mp-1539672_kyCCZne9k4_r1iDqNKlR1,Ca8Mo16O32,80133,HO2,-802.25696283,113,1,1.708254629999967
76648,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,801,HCs20O20Sc8,7.106621404036492,8.61195563286272,1.5069746515555908,177.05659322468054,2.4285703669169894,,,,,,mp-1178539,"(1, 0, 0)",1,Cs3ScO3_mp-1178539_ymumY7BBP5_u8CslSx1AQ,Cs12Sc4O12,74453,HO2,-254.15152329,49,1,-0.5278476199999922
36253,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,811,HCa48O12Sb24,15.12087713176688,0.9755893510175635,14.971255428271178,3.671790233741524,96.98155054073196,,,,,,mp-13660,"(1, 0, 0)",1,Ca4Sb2O_mp-13660_jM2SaYQZl0_Rj4K6Yrx9j,Ca8Sb4O2,16380,HO2,-367.57648384,85,1,3.1465281800000438
83265,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,822,HAl22In20O62,2.5862475936400124,1.6719023622257054,1.4671531854546314,37.18479678626159,110.78464295733198,,,,,,mp-1178550,"(1, 2, 1)",1,1006479_AlInO3_mp-1178550_T2eUKZFPfW_15yfhzTGOC,Al4In4O12,83668,HO2,-658.27503507,105,1,2.182420440000012
663,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,826,HO14Sr12,7.624098885897712,0.9827912074590885,7.238983467930027,6.977808736244989,109.53608490693618,,,,,,mp-2472,"(3, 1, 0)",1,SrO_mp-2472_GSNfZVtv7C_YLscPw6C6Z,Sr4O4,20469,HO2,-154.72440792,27,1,4.389017219999996
34484,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,833,HBa12Mn24O36,1.970028436711207,0.9779806960708338,1.509834155031087,28.976173435486412,102.61492949220946,,,,,,mp-27323,"(1, 2, 0)",1,BaMn2O3_mp-27323_WZSQwO1xyU_bilt6BvqOX,Ba2Mn4O6,22673,HO2,-503.65405799,73,1,1.877344799999971
8854,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,851,HBi12O50Pd28,1.9072821114289449,0.9800770347504356,1.5532850863098466,30.79168157604331,94.98334507115652,,,,,,mp-25201,"(1, 1, 0)",1,Bi-PdO2-2_mp-25201_GclJCzILkn_tfGfIySE3X,Bi2Pd4O8,11620,HO2,-485.60655398,91,1,2.8183164500000224
42139,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,867,HO17Os6Rb5,3.6144412251843114,0.9852898002165978,3.20028342413218,15.104722674520513,107.07372464619132,,,,,,mp-1040467,"(2, 1, 0)",1,2411243514_RbOsO3_mp-1040467_eTHn4IJu84_iz0Zg2KQk3,Rb1Os1O3,43018,HO2,-188.50199036,29,1,1.0615374999999825
6935,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,880,HO58Pd12Se20,1.8969810651894548,0.9816878298782076,1.460496312465569,30.631555910858197,100.07792098510184,,,,,,mp-4649,"(1, 1, 0)",1,PdSe2O5_mp-4649_hbebDyGVcV_awbZme8xbu,Pd4Se8O20,15363,HO2,-471.8370567,91,1,3.785766020000008
33591,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,887,HAl26O6Zr40,2.7808439087764776,13.994922187614945,11.59938475470684,146.15281510612274,6.354169253926522,,,,,,mp-1215954,"(1, 0, 1)",1,Zr10Al6O_mp-1215954_5tSvat4Rwf_52bTV10WYa,Zr30Al18O3,4042,HO2,-488.09593799,73,1,-3.644794539999996
21029,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,907,HBa20O62Zr24,3.4372166239403867,0.970163993418459,3.260893206620275,16.382592133107565,92.1721613851019,,,,,,mp-1019544,"(1, 0, 1)",1,BaZrO3_mp-1019544_edYRRO8eAk_CCRBXOr1oi,Ba4Zr4O12,79648,HO2,-866.37727822,107,1,-5.5125026899999945
38362,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,911,HCu16Li16O30,1.8937917571854181,0.9822040452078356,1.4367612749902585,30.559155837340235,101.39118358829279,,,,,,mp-9158,"(1, 1, 2)",1,LiCuO2_mp-9158_GWX0E9CKZD_z8p6CWvTj1,Li2Cu2O4,7079,HO2,-304.27707612,63,1,4.549507719999976
1889,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,930,HGe16Mn16O46,1.9222343668592197,0.980466349607742,1.4876605033162296,30.124464327239632,100.27873528341007,,,,,,mp-1106201,"(0, 0, 1)",1,MnGeO3_mp-1106201_Q4ND0UQsvG_LxFhyZQRQU,Mn8Ge8O24,28190,HO2,-537.80347867,79,1,2.4694234000000077
