,filename,entry number,composition,OH lengths,bulk_id,miller_index,nads,traj_id,bulk_symbols,slab_sid,ads_symbols,y_relaxed,natoms,nads2,adsorption_energy
28093,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,201,HAu16Ca8O33,[7.901184682441113],mp-2898,"(0, 0, 1)",1,Ca-AuO2-2_mp-2898_KcGLosqHcH_Ke0Pmthwdp,Ca4Au8O16,10934,OH,-282.16275744,58,1,0.6111280799999861
37466,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,209,HFe48O47,[0.9711801286764367],mp-1279742,"(2, -1, -1)",1,FeO_mp-1279742_vrt9dczCWb_vENNNTBPAb,Fe2O2,36249,OH,-608.50468785,96,1,2.677556140000064
26764,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,211,HBa8O33Sr24,[0.9721275513047625],mp-984729,"(1, 1, 0)",1,BaSr3O4_mp-984729_sAc9y40w19_EFVCUFmFxS,Ba1Sr3O4,5024,OH,-382.71027864,66,1,-0.1048919300000363
33927,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,213,HO71Y48,[0.9727984635781579],mp-754759,"(2, -1, 2)",1,Y2O3_mp-754759_KA1bdnInPN_poamOKqMTF,Y12O18,1383,OH,-1053.63783917,120,1,-3.111083759999957
1289,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,234,H2Mn24Na8O28,"[0.9781303162459246, 0.9791004362991382]",mp-752601,"(1, 0, -1)",2,NaMn3O4_mp-752601_W2jFKPRCRY_CFwKny8c55,Na4Mn12O16,28434,OH,-417.92476317,62,2,-1.7378471000000104
25897,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,241,HGa16O59Sb16,[0.9973987251926297],mp-1224786,"(1, 2, 2)",1,GaSbO4_mp-1224786_fE3qedVc3U_1f4NEesSpy,Ga2Sb2O8,9723,OH,-534.28611805,92,1,4.3535211499999775
72600,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,246,H4Cs16O34Sc16,"[8.538470476418965, 0.9736698165398388, 0.9885268921619638, 0.9737718786742408]",mp-754826,"(1, 1, 0)",4,CsScO2_mp-754826_hYudjwKFf8_XR725slq26,Cs8Sc8O16,71019,OH,-467.0033349,70,4,-0.857472837500012
70617,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,289,H4Co28Nb12O58,"[0.9767739774476504, 0.9733143146356854, 0.9706291176606077, 0.9746513013386924]",mp-1276507,"(0, 0, 1)",4,Nb2Co4O9_mp-1276507_xOnYSJOm7v_UjUAQlyUF9,Nb4Co8O18,70573,OH,-724.92712078,102,4,-0.8406885375000002
8645,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,294,H7Ag16K14O35,"[1.0245245415615656, 1.0265996423894814, 8.073282484430246, 0.9733776417386573, 1.5406912073815335, 0.98098853495772, 8.71343286419026]",mp-997102,"(1, 0, 1)",7,KAgO2_mp-997102_Qjfpl4Kjdt_f56NpPcvjN,K4Ag4O8,40030,OH,-296.58250284,72,7,0.7523637514285691
3726,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,296,HCr16O31Rb16,[0.9850584488381082],mp-771648,"(1, 1, 0)",1,RbCrO2_mp-771648_HKUqK31cdD_h35LaNlnXq,Rb3Cr3O6,1918,OH,-389.00876047,64,1,-1.0140261200000111
2064,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,301,H3Ge32O55,"[8.647187744550001, 0.9770938446256604, 8.50315825021542]",mp-1072104,"(2, 1, 0)",3,GeO2_mp-1072104_1FVoDq4nfs_TYJOVq2JSP,Ge2O4,31381,OH,-552.17889805,90,3,-0.0488481133333588
40001,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,321,HMn12O43Rh12,[0.9783688273965103],MnRhO4-rutile,"(2, 1, 3)",1,MnRhO4_MnRhO4-rutile_o3Ky7Er4PC_iTIbZb0sX3,Mn1Rh1O4,4377,OH,-448.26583223,68,1,1.3223837500000002
6722,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,335,HCu6O11Sr6,[0.981400403008335],mp-5787,"(1, 1, 0)",1,SrCuO2_mp-5787_XW0l5kJFLp_SUF90ZsC2R,Sr4Cu4O8,27942,OH,-125.0284156,24,1,-0.9414726300000068
121,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,344,HCo18Ni18O55,[0.9698595074957721],mp-1279343,"(1, 2, -2)",1,CoNiO3_mp-1279343_QgXm5sgJXI_JXRvCRB8RC,Co2Ni2O6,39972,OH,-474.93708262,92,1,0.6397906800000044
16167,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,346,HLu24O31,[0.9769587371223296],mp-556477,"(1, 1, 0)",1,Lu2O3_mp-556477_5zEXZA58Tp_iMzESXi5Dc,Lu12O18,5355,OH,-441.41066413,56,1,-2.975878590000008
19932,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,366,HO6Sb12Sr23,[0.9696233877911817],mp-755293,"(1, 0, 1)",1,Sr4Sb2O_mp-755293_pRphmm0Tij_SclFnnpOa9,Sr8Sb4O2,14062,OH,-181.75836311,42,1,-1.0445977299999925
32583,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,373,H3Mn22O29,"[0.9745074162481708, 0.9685533298216485, 0.9697409698866128]",mp-18759,"(1, 0, 0)",3,Mn3O4_mp-18759_n2hEie2CHH_0y4zRNWvFB,Mn6O8,23535,OH,-391.75207489,54,3,-0.500397090000007
8813,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,384,HMg36O41Sb12,[0.976643246600134],mp-1099252,"(1, 1, 1)",1,Mg3SbO4_mp-1099252_IqVP65eG6i_St6XTzpnHL,Mg3Sb1O4,9995,OH,-475.26589614,90,1,-3.6578789099999938
556,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,396,H3Ag12Cu24O47,"[0.9781659297653869, 0.9773313136990288, 11.228709752679405]",mp-1225882,"(1, -1, -1)",3,Cu2AgO4_mp-1225882_Q1aRn3m86d_nrqwjI3Xg3,Cu2Ag1O4,23478,OH,-391.52578826,86,3,0.6027947800000012
23148,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,410,HMo16O61Tl16,[0.9830946260621828],TlMoO4-rutile,"(3, 0, 1)",1,TlMoO4_TlMoO4-rutile_rrkdHx7ejz_G1yRJwS56v,Tl1Mo1O4,33283,OH,-573.37613731,94,1,2.53814485999996
83196,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,442,HCr6O18Pb5,[0.9806845391589628],mp-22364,"(2, 1, 0)",1,1031829_CrPbO3_mp-22364_EEe0TTnviC_TNY2dADxmX,Cr1Pb1O3,83743,OH,-189.7439237,30,1,1.838711389999986
28118,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,452,HBa8Na32O25,[0.9717081978619168],mp-756084,"(0, 1, 0)",1,BaNa4O3_mp-756084_OMyyqCh3be_Tq7mXYMfIj,Ba4Na16O12,26321,OH,-273.99604767,66,1,0.4245607599999914
3803,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,454,HLi56O49Ta8,[0.9686762386824133],mp-28891,"(1, 1, 0)",1,Li7TaO6_mp-28891_lmzb6UBOQN_0OZaCD89kU,Li21Ta3O18,33301,OH,-692.42731119,114,1,0.3981797300000096
26959,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,478,H3Nb12O51Zr12,"[0.9728497467944318, 0.9729625989117551, 0.9698864499687764]",mp-756426,"(0, 0, 1)",3,ZrNbO4_mp-756426_19x1Wj89gv_rTwUOAfEKX,Zr4Nb4O16,81290,OH,-694.55353528,78,3,-1.4027146166666755
69143,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,490,HO75W22,[0.9710865580298912],mp-1202223,"(1, 1, 1)",1,WO3_mp-1202223_YTkOPyRuub_GjDOUi9jvY,W10O30,77946,OH,-680.96891881,98,1,1.8896283800000615
2681,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,493,H2Hf12Li36O38,"[0.9712525116833234, 0.9694310926104446]",mp-770805,"(1, 1, -1)",2,Li6Hf2O7_mp-770805_UNDE3BefaV_uGj7HLVIC4,Li12Hf4O14,28834,OH,-582.45842077,88,2,-2.4871865599999694
44634,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,510,H2K12O18Zn12,"[0.97103147743018, 0.9713775008235719]",mp-1178143,"(0, 1, 0)",2,90423983534_K2Zn2O3_mp-1178143_Q1XYstf3c2_9C7GOgzdIx,K4Zn4O6,42503,OH,-174.61705035,44,2,-1.3383426249999957
36755,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,545,H2Cr22Li22O50,"[0.9791000697040012, 0.9731479293005341]",mp-18793,"(1, 2, 0)",2,LiCrO2_mp-18793_S4oiNRTuqV_vuvTeH8Fce,Li2Cr2O4,20948,OH,-626.29933076,96,2,0.9806145299999968
76172,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,547,H2Cr12O94W24,"[19.103502932469016, 0.9821404296731292]",mvc-669,"(1, 1, -1)",2,Cr-WO4-2_mvc-669_u4bGW7Zvf0_8BndFAzTLi,Cr2W4O16,79029,OH,-964.12009146,132,2,1.7872731550000085
42984,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,552,HMn12O47Sr24,[4.4540519335175555],mp-18978,"(2, 1, 0)",1,235508583253254_Sr2MnO4_mp-18978_IlmqzaCF22_7nwBDSaZnl,Sr4Mn2O8,44904,OH,-543.39062087,84,1,0.2730535599999655
38823,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,568,HAl32Co16O65,[7.632743566285717],mp-36447,"(1, 0, 0)",1,Al2CoO4_mp-36447_Kkj9pb2wqO_J1lhGvBL3w,Al16Co8O32,79375,OH,-788.32604066,114,1,3.3428236800000093
24939,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,586,HNb20O81Ti18,[0.9709739869146051],mp-1216686,"(1, 3, 2)",1,TiNbO4_mp-1216686_a01iQgDvY2_gP7KIkGkyi,Ti2Nb2O8,24838,OH,-1060.10520977,120,1,-1.361463299999997
70540,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,630,HAl12Cs36O37,[0.9695373727714527],mp-562441,"(1, 0, 1)",1,Cs3AlO3_mp-562441_kRvQXxU90d_jw9SIemNy0,Cs12Al4O12,77878,OH,-413.49048024,86,1,0.6826478099999633
18875,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,649,HLi48Nb12O61,[0.9824751247497959],mp-31488,"(1, 0, 0)",1,Li3NbO4_mp-31488_fOAW4BDuBe_eDruihlXo1,Li24Nb8O32,80308,OH,-767.37328974,122,1,0.548512479999971
23480,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,656,HLi16O19Zr8,[0.9692123917159449],mp-4156,"(1, 0, 0)",1,Li2ZrO3_mp-4156_71Q272KtLF_Y0LiyvOps0,Li8Zr4O12,36367,OH,-289.84150979,44,1,-2.9227885800000024
10945,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,662,HO61Y3Zr28,[0.9738693001964992],mp-675470,"(0, 1, 1)",1,YZr9O20_mp-675470_EG8Rp5vcBw_7yDhFE11OA,Y1Zr9O20,19375,OH,-869.50773379,93,1,-3.161052819999924
72477,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,669,HCs24Ni24O49,[0.9798134511421852],mp-1232310,"(1, 1, 1)",1,CsNiO2_mp-1232310_R8XrpCVX49_GFvow1ESye,Cs8Ni8O16,77341,OH,-404.60668067,98,1,2.524449120000014
25692,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,684,H2O34Se16Y32,"[0.9645098021466227, 0.9946172624145104]",mp-755609,"(1, 1, 2)",2,Y2SeO2_mp-755609_IPJGbTjyAS_KkNrFjrSWc,Y4Se2O4,25233,OH,-676.37874642,84,2,0.935446374999998
43832,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,694,HAu16Ga14O53,[0.9772159426062729],GaAuO4-rutile,"(1, 0, 2)",1,904239835_GaAuO4_GaAuO4-rutile_rGNj0kcDsm_qoGhGdmmeR,Ga1Au1O4,45072,OH,-397.09118441,84,1,-1.557874969999972
77311,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,702,HMo12O55Zn21,[0.9897052287369603],mp-29461,"(0, 1, 1)",1,Zn3Mo2O9_mp-29461_7oHOePc8IB_6dDnBPkFxY,Zn6Mo4O18,69386,OH,-513.15018815,89,1,-0.5385996199999852
69104,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,712,HAl48Cr20O113,[16.05853435935179],mp-773505,"(1, 0, 1)",1,Al2CrO5_mp-773505_3wZieWnTyN_p4raMjEJEJ,Al8Cr4O20,77156,OH,-1313.53837877,182,1,4.750650590000049
16831,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,722,HMn8O59Se24,[0.9852037199499107],mp-1205179,"(0, 1, 0)",1,MnSe3O8_mp-1205179_9CGyEXtkBC_KYyK16Dk6x,Mn4Se12O32,28082,OH,-507.9942978,92,1,3.3439387399999703
7330,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,730,H4Cu22O48Y12,"[10.196767872093194, 0.9705982218953305, 1.0257621254765459, 9.076985393093103]",mp-22618,"(1, 0, 0)",4,Y-CuO2-2_mp-22618_CtQaIRx5uB_nZX7oMv6S5,Y4Cu8O16,18752,OH,-545.79600307,86,4,0.5087516050000005
22508,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,742,HCa8O59V32,[0.9731427350032682],mvc-12238,"(0, 1, 0)",1,CaV4O8_mvc-12238_KLpgsNQhvD_dQCKZt35If,Ca2V8O16,22637,OH,-739.33478413,100,1,-1.268610539999969
21956,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,759,H4O32Rb16Sb16,"[0.9745916105989897, 1.8035347560382622, 0.9840305750401888, 0.974394000010375]",mp-10418,"(2, 2, -1)",4,RbSbO2_mp-10418_4cVQSzy1mI_4rexEyNok3,Rb4Sb4O8,20279,OH,-339.11022746,68,4,0.8488517950000016
71076,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,764,HO93Sb10W24,[0.9926920390801403],mvc-645,"(1, 1, -1)",1,Sb-WO4-2_mvc-645_veEsn6Qdwj_B0GwsJSPk1,Sb2W4O16,73102,OH,-890.71962857,128,1,1.4549503699999775
81894,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,771,HCa16O41Sc16,[0.9712431466467456],mp-1183534,"(1, 1, 0)",1,1012805_CaScO3_mp-1183534_uhsTcaZNBL_NxZci0c2xv,Ca1Sc1O3,82606,OH,-562.64657238,74,1,-5.953982079999975
33210,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,774,H5O27Sr8Zr8,"[0.9725094172706432, 1.019908511852121, 0.9722451415395303, 1.0168586107206141, 0.9789405546709409]",mp-4387,"(1, 0, 0)",5,SrZrO3_mp-4387_d0F9vGOFHK_zv9HZzB6R5,Sr4Zr4O12,17374,OH,-362.08544915,48,5,-0.755869672
29435,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,776,HHg12Ir12O41,[0.9806872369938547],HgIrO4-rutile,"(2, 1, 3)",1,HgIrO4_HgIrO4-rutile_leuy7Eh49a_HxwL2J5IXZ,Hg1Ir1O4,31063,OH,-332.33765069,66,1,0.4324168300000508
7369,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,777,HBa8O25Sc8,[5.692491967241051],mp-1183289,"(2, 1, 1)",1,BaScO3_mp-1183289_4ABKI6ptjZ_RqOk8CpB5V,Ba1Sc1O3,35326,OH,-304.75215204,42,1,-1.3728133499999728
33295,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,795,HCu16O29Se8,[0.9776253240193599],mp-560561,"(0, 1, 0)",1,Cu2SeO4_mp-560561_kNjbsHxj1j_fibPgNdvpF,Cu8Se4O16,1238,OH,-262.92809562,54,1,-0.1264721800000359
5153,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,805,HCa6Mn42O49,[0.9719390863440209],mp-753132,"(2, 0, 1)",1,CaMn7O8_mp-753132_euYWBVqFXD_FE9wJyXlBj,Ca2Mn14O16,6656,OH,-728.66230722,98,1,-1.240869799999956
32759,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,835,HAl8Mg16O43,[0.9668502254989482],mp-1222192,"(1, -1, 0)",1,Mg2AlO6_mp-1222192_JVT1fupThD_curKIGXbAK,Mg2Al1O6,13738,OH,-373.49807605,68,1,0.8262451999999882
37726,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,837,HO53V8W16,[0.9781325030725825],mvc-688,"(0, 2, -1)",1,V-WO4-2_mvc-688_WOIELZhXDM_Wwr2MOdF1e,V1W2O8,9455,OH,-568.11118001,78,1,-0.44940380999995
15100,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,842,H2O64Ta16V16,"[0.9717904263792988, 0.9659984607807607]",mp-1291967,"(0, 1, 0)",2,TaVO4_mp-1291967_SfShN2k5cg_oKSQEgFQ5v,Ta8V8O32,20006,OH,-858.952892,98,2,-0.8541667600000267
33835,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,848,HBi16O47Sc16,[0.9748202395737906],mp-555313,"(0, 1, 0)",1,ScBiO3_mp-555313_U1X666w1zr_R2Gbrshf6F,Sc8Bi8O24,19225,OH,-573.44273661,80,1,-0.6486302099999932
30027,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,872,HO65Pt24,[0.9824314352367569],mp-768242,"(1, 0, 0)",1,PtO3_mp-768242_GmHxUom5T9_C8wJU6R9SI,Pt4O12,37942,OH,-479.93182213,90,1,-0.4884176899999772
75228,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,873,HCs24O37Sr24,[0.9675172238784413],mp-753801,"(2, 1, -1)",1,Cs2Sr2O3_mp-753801_neK9y3uSFp_2nwcMRlFky,Cs4Sr4O6,71414,OH,-403.24039218,86,1,-0.4968339899999989
76408,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,910,HLi56Nb8O49,[0.9666523563365101],mp-37399,"(1, 1, 0)",1,Li7NbO6_mp-37399_pUrfZdCPGT_NIFRnd0VLT,Li21Nb3O18,74741,OH,-669.34865831,114,1,0.4417813199999898
16307,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,912,H2Al19Mg15O50,"[3.367937979135661, 0.9706745813682397]",mp-1222118,"(1, 0, 0)",2,Mg5Al7O16_mp-1222118_ImttXsiMsU_1hsGc57jXq,Mg5Al7O16,14950,OH,-564.50613169,86,2,-0.3360864049999748
14385,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,962,HAl9Ca8O23,[7.607556209975612],mp-10444,"(1, 0, 1)",1,Ca2Al2O5_mp-10444_eMmlWItRoF_SIHjPxoRxp,Ca8Al8O20,28341,OH,-275.26154109,41,1,1.1111436300000437
69929,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,980,HO23Ti48Zr24,[8.989089526195693],mp-752953,"(1, 0, 2)",1,ZrTi2O_mp-752953_ZrRDKl5OqX_2wHkN20bhp,Zr4Ti8O4,76207,OH,-797.44021022,96,1,-3.6799176400000135
70246,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,986,HNb56O12Pt32,[9.694748249080773],mp-17525,"(3, -1, 3)",1,Nb5Pt3O_mp-17525_8LWRzjHW28_zEWFy2hkoi,Nb10Pt6O2,74165,OH,-853.59393693,101,1,-1.3668191499999978
72432,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,1009,HCd8Mn48O81,[0.9744415829246514],mp-1105241,"(1, 0, 0)",1,Mn7CdO12_mp-1105241_McC79VTJLz_5NhTtnIufm,Mn14Cd2O24,74370,OH,-953.08684313,138,1,-3.6641818299999898
13428,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,1012,HBi11O47Tl11,[0.9788220339947998],TlBiO4-rutile,"(2, 1, 3)",1,TlBiO4_TlBiO4-rutile_ShGauCk84F_DljrM2NfCl,Tl1Bi1O4,4215,OH,-342.32949315,70,1,1.8644121099999609
45735,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,1025,HO43Ru10W12,[0.9709277049388265],RuWO4-rutile,"(2, 0, 1)",1,123212059559_RuWO4_RuWO4-rutile_3fLYjD1xwd_vsJAJMuxRx,Ru1W1O4,44650,OH,-475.01050689,66,1,-1.3239357099999722
7895,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,1054,HO57Rh16V16,[0.9747557625162356],mp-1100903,"(2, 1, 2)",1,VRhO4_mp-1100903_pa1vEkoTRQ_weMOvbbqPm,V2Rh2O8,37234,OH,-621.04817538,90,1,-0.0660951799999622
73470,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,1076,H2Ni30O66Y16,"[0.9995338048236841, 1.0125003221031161]",mvc-16809,"(1, 0, 1)",2,Y-NiO2-2_mvc-16809_0W21fxySwh_5ZaDpO0KEW,Y4Ni8O16,74534,OH,-690.99482808,114,2,0.96397773999999
14201,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,1089,HO45Se16Zn16,[11.642523776144575],mp-5338,"(1, 0, 0)",1,ZnSeO3_mp-5338_iqWmNaiuiM_fOeMMryAyJ,Zn8Se8O24,32901,OH,-373.43566802,78,1,1.022690869999991
40194,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,1107,HBi8O23Rb24,[8.052016630071668],mp-29525,"(1, 0, 0)",1,Rb3BiO3_mp-29525_9jiCfrhhwA_rCBEFGKUFv,Rb12Bi4O12,38411,OH,-239.76584348,56,1,-0.3810629600000084
34283,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,1109,HO39Si8Sr24,[0.9925839399668687],mp-979932,"(1, 0, 0)",1,Sr3SiO5_mp-979932_aj4vbp3jRC_maIwjQjNKN,Sr12Si4O20,39027,OH,-477.38808017,72,1,-2.8392270399999973
11678,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0001.lmdb,38,H3O48Tl4W15,"[1.034749413417112, 0.987457699657919, 0.9814923612120063]",mp-766046,"(2, -1, 2)",3,Tl-WO3-3_mp-766046_3nL5yy50rQ_6ohuvD3kQ8,Tl1W3O9,7605,OH,-478.50122926,70,3,1.9727125566666643
21210,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0001.lmdb,40,HCo8O25Rb16,[0.9744859788541065],mp-1294780,"(1, 1, 0)",1,Rb2CoO3_mp-1294780_uyjvqGyKFq_PHP5p9QpFs,Rb8Co4O12,22742,OH,-237.60292385,50,1,0.6771537300000148
