,system_id,bulk_id,miller_index,nads,bulk_symbols,slab_sid,ads_symbols,adsorption_energy
115,39298,AgPdO4-rutile,"(3, 0, 1)",1,Ag1Pd1O4,37801,HO2,4.695707349999961
116,14295,AgPdO4-rutile,"(2, 1, 2)",2,Ag1Pd1O4,31481,O,3.8416057450000074
118,38434,AgPtO4-rutile,"(3, 0, 1)",1,Ag1Pt1O4,37583,O2,4.550718070000009
119,17968,AgPtO4-rutile,"(2, 1, 3)",1,Ag1Pt1O4,80361,H2O,0.3191406899999887
121,24059,AgPtO4-rutile,"(3, 0, 1)",1,Ag1Pt1O4,786,HO2,2.559425179999946
122,31575,AgPtO4-rutile,"(1, 1, 0)",3,Ag1Pt1O4,39143,O,2.9722180200000023
124,9229,AgPtO4-rutile,"(1, 1, 0)",1,Ag1Pt1O4,39143,H2O,-1.6111914899999764
125,38833,AgPtO4-rutile,"(1, 1, 0)",1,Ag1Pt1O4,39143,OH,0.5519800000000237
127,28612,AgPtO4-rutile,"(3, 0, 1)",1,Ag1Pt1O4,37583,HO2,3.724005320000001
128,36501,AgPtO4-rutile,"(1, -1, 2)",1,Ag1Pt1O4,32676,HO2,1.8578003399999803
133,19873,AgRhO4-rutile,"(1, 0, 1)",3,Ag1Rh1O4,80231,O,2.2222559966666684
137,6182,AgRhO4-rutile,"(1, 0, 1)",1,Ag1Rh1O4,80231,H2O,1.047374870000004
138,43435,AgRhO4-rutile,"(1, 1, 0)",1,Ag1Rh1O4,44111,O,0.5714770500000246
141,20832,AgRhO4-rutile,"(1, 0, 1)",2,Ag1Rh1O4,80231,O,3.028531205000005
142,6257,AgRhO4-rutile,"(1, 0, 2)",1,Ag1Rh1O4,23599,O2,5.302787049999999
143,13664,AgRhO4-rutile,"(1, 0, 2)",1,Ag1Rh1O4,23599,OH,1.3721149800000296
144,38467,AgRhO4-rutile,"(1, 1, 0)",1,Ag1Rh1O4,5778,H2O,-0.9195443400000104
145,32791,AgRhO4-rutile,"(1, 0, 2)",1,Ag1Rh1O4,23599,O2,4.983480449999995
146,34691,AgRhO4-rutile,"(3, 0, 2)",2,Ag1Rh1O4,79904,O,2.478466010000003
148,9380,AgSbO4-rutile,"(1, 1, 1)",1,Ag1Sb1O4,15147,H2O,-0.8361891200000233
149,31841,AgSbO4-rutile,"(2, 2, 1)",2,Ag1Sb1O4,17526,O,2.0032252549999874
150,19391,AgSbO4-rutile,"(2, 2, 1)",2,Ag1Sb1O4,31400,O,1.93836240499999
153,29125,AgSbO4-rutile,"(2, 2, 1)",1,Ag1Sb1O4,17526,H2O,-1.8928049600000296
154,41675,AgSbO4-rutile,"(2, 1, 1)",2,Ag1Sb1O4,42864,OH,1.7179952199999866
155,22616,AgSbO4-rutile,"(2, 1, 1)",2,Ag1Sb1O4,24300,O,2.4895438049999803
157,29734,AgSbO4-rutile,"(2, 1, 1)",4,Ag1Sb1O4,24300,OH,0.8201355175000009
158,34678,AgSbO4-rutile,"(2, 2, 1)",1,Ag1Sb1O4,31400,O2,4.150572239999967
160,46074,AgSbO4-rutile,"(2, 1, 1)",1,Ag1Sb1O4,42864,O,4.851862019999968
161,18408,AgSnO4-rutile,"(2, 1, 3)",1,Ag1Sn1O4,24579,O2,5.789850859999994
162,20228,AgSnO4-rutile,"(2, 1, 3)",1,Ag1Sn1O4,24579,HO2,6.994565219999968
164,14056,AgSnO4-rutile,"(2, 1, 1)",6,Ag1Sn1O4,127,O,2.8569055516666686
166,33442,AgSnO4-rutile,"(2, 1, 3)",1,Ag1Sn1O4,24579,H2O,1.801465479999996
167,12317,AgTeO4-rutile,"(2, 1, 3)",1,Ag1Te1O4,358,H2O,-1.1390405700000148
168,4831,AgTeO4-rutile,"(2, -1, 3)",2,Ag1Te1O4,15450,O,2.4339813749999997
170,29200,AgTeO4-rutile,"(1, 0, 2)",1,Ag1Te1O4,10803,O,2.4826744400000087
171,37290,AgTeO4-rutile,"(2, 1, 3)",2,Ag1Te1O4,358,O,2.489826994999985
173,32520,AgTeO4-rutile,"(1, 1, 2)",1,Ag1Te1O4,37041,OH,0.15039766000004773
174,1784,AgTeO4-rutile,"(2, 1, 3)",4,Ag1Te1O4,358,OH,0.8597622624999934
177,23083,AgTeO4-rutile,"(1, 1, 2)",1,Ag1Te1O4,37041,O2,4.8566725500000345
178,21094,AgTeO4-rutile,"(3, 0, 1)",1,Ag1Te1O4,5918,O2,4.476841569999969
179,30723,AgTeO4-rutile,"(3, 0, 1)",1,Ag1Te1O4,5918,H2O,-0.1912253000000365
180,30735,AgTeO4-rutile,"(2, -1, 3)",1,Ag1Te1O4,15450,H2O,-0.2281323000000217
182,28880,AgTeO4-rutile,"(1, 0, 2)",4,Ag1Te1O4,10803,O,2.854679442499998
185,19896,AgTeO4-rutile,"(1, 0, 2)",1,Ag1Te1O4,10803,H2O,-0.2860833599999584
188,31531,mp-554988,"(0, 0, 1)",2,Ag24Ge24O60,1668,O,2.474352075000039
189,6415,mp-28729,"(1, 0, 1)",1,Ag25Bi3O18,10688,O2,4.546412190000005
190,6672,mp-28729,"(1, 0, 1)",1,Ag25Bi3O18,10688,HO2,2.095239969999992
191,4456,mp-28729,"(1, 0, 1)",1,Ag25Bi3O18,10688,H2O,-0.1602662600000091
194,40023,mp-996980,"(0, 3, 1)",1,Ag2Au2O4,22458,HO2,2.394521609999968
196,18771,mp-996980,"(0, 3, 1)",1,Ag2Au2O4,23052,OH,0.44123120999999277
203,40676,mp-996983,"(0, 1, 0)",1,Ag2Au2O4,16097,H2O,-0.7558203800000118
204,23989,mp-996983,"(0, 1, 0)",1,Ag2Au2O4,16097,O,1.5091049899999949
206,5036,mp-996983,"(1, 1, -1)",1,Ag2Au2O4,14311,HO2,3.599700860000039
208,44010,mp-996980,"(1, 2, 2)",2,Ag2Au2O4,45463,O,2.4454443999999973
210,3963,mp-996983,"(1, 0, 0)",1,Ag2Au2O4,14258,HO2,1.5455750099999908
214,45088,mp-996980,"(1, 0, 0)",1,Ag2Au2O4,43654,OH,1.5609501299999613
216,11827,mp-996980,"(0, 3, 1)",2,Ag2Au2O4,22458,O,2.1950635849999833
219,38597,mp-996983,"(1, 0, 0)",1,Ag2Au2O4,14258,OH,-0.04921675000001868
220,23651,mp-996980,"(1, 3, 1)",1,Ag2Au2O4,13041,H2O,-2.09046560999999
221,39801,mp-996983,"(0, 1, 0)",2,Ag2Au2O4,16097,O,2.4713598550000007
223,35403,mp-996980,"(0, 3, 1)",1,Ag2Au2O4,23052,H2O,-1.7743651599999968
224,43755,mp-996980,"(1, 0, 0)",8,Ag2Au2O4,43654,O,2.5604005224999944
226,12235,mp-996980,"(0, 3, 1)",1,Ag2Au2O4,22458,OH,0.162493289999967
227,42355,mp-996969,"(2, 3, 2)",2,Ag2Bi2O4,41637,HO2,2.6462580750000178
228,44286,mp-996969,"(2, 3, 2)",1,Ag2Bi2O4,41637,O,0.8059305600000048
229,18827,mp-996969,"(2, 1, -2)",1,Ag2Bi2O4,28115,O2,9.798033809999986
232,23755,mp-996969,"(1, 0, 0)",2,Ag2Bi2O4,12949,O,2.0411992649999866
234,20210,mp-996969,"(2, 2, -1)",1,Ag2Bi2O4,2708,O,2.9911218200000156
235,24020,mp-996969,"(1, 0, -1)",1,Ag2Bi2O4,27318,HO2,3.5164630600000044
238,21842,mp-996969,"(1, 1, -1)",1,Ag2Bi2O4,7558,O2,2.9593874500000013
239,15085,mp-996969,"(1, 0, 1)",1,Ag2Bi2O4,10701,HO2,1.1090847600000278
240,23089,mp-996969,"(1, 0, -1)",2,Ag2Bi2O4,27318,O,2.0092910000000024
242,28445,mp-996969,"(2, 1, -2)",1,Ag2Bi2O4,28115,OH,0.7368438499999945
243,45639,mp-996969,"(2, 2, -1)",1,Ag2Bi2O4,44689,O,3.846948519999981
244,32577,mp-996969,"(2, 2, -1)",2,Ag2Bi2O4,2708,O,1.510608570000014
245,43079,mp-996969,"(2, 2, -1)",1,Ag2Bi2O4,44689,HO2,3.7171177999999805
247,43002,mp-996969,"(2, 3, 2)",2,Ag2Bi2O4,41637,O,1.5552464000000132
248,32707,mp-996969,"(1, 0, 0)",4,Ag2Bi2O4,12949,O,3.0521180074999967
250,10376,mp-996969,"(1, 2, 0)",2,Ag2Bi2O4,4036,O,2.1061101499999757
251,9566,mp-996969,"(1, 0, -1)",1,Ag2Bi2O4,27318,O2,3.7920255799999936
253,31016,mp-996969,"(1, 2, 0)",1,Ag2Bi2O4,4036,H2O,-0.1708509200000154
254,26839,mp-996969,"(1, 0, 1)",1,Ag2Bi2O4,10701,O2,3.7262573899999936
255,39035,mp-996969,"(1, 1, -1)",3,Ag2Bi2O4,7558,OH,1.243290780000014
257,41246,mp-996969,"(1, 0, 1)",2,Ag2Bi2O4,80004,O,2.2492028000000044
258,22480,mp-996969,"(1, 2, 1)",3,Ag2Bi2O4,7555,O,1.1724537600000033
259,1062,mp-997000,"(1, 1, 1)",3,Ag2Hg2O4,2357,O,2.42986541666667
260,31986,mp-997001,"(1, 0, 1)",1,Ag2Hg2O4,21914,O,2.242519069999998
261,31281,mp-997001,"(0, 1, 0)",1,Ag2Hg2O4,35624,HO2,3.9641413600000113
262,44345,mp-997000,"(2, 3, 2)",4,Ag2Hg2O4,42117,O,2.305004134999995
263,11634,mp-997000,"(2, 1, 2)",6,Ag2Hg2O4,9174,O,2.4334000133333333
265,33587,mp-997000,"(2, 1, 0)",2,Ag2Hg2O4,31506,O,2.2859028649999944
266,27728,mp-997000,"(2, 1, 0)",1,Ag2Hg2O4,31506,HO2,3.8797418099999823
268,29656,mp-997000,"(1, 2, -1)",1,Ag2Hg2O4,40427,O,2.2849304700000044
270,12748,mp-997000,"(2, 1, 2)",1,Ag2Hg2O4,9174,H2O,0.4566345699999825
271,23127,mp-997001,"(1, 1, 1)",2,Ag2Hg2O4,8504,O,3.033387889999998
273,22351,mp-997001,"(0, 1, 0)",1,Ag2Hg2O4,13911,OH,0.4954494000000215
275,1798,mp-997000,"(2, 1, 0)",1,Ag2Hg2O4,31506,OH,1.4755448199999626
278,27248,mp-997000,"(1, 0, -2)",2,Ag2Hg2O4,3374,O,2.3473722500000043
279,431,mp-997000,"(1, 2, -1)",1,Ag2Hg2O4,40427,H2O,-1.2640431099999834
281,22997,mp-997001,"(2, 1, 0)",4,Ag2Hg2O4,14414,O,2.423051540000001
282,13921,mp-997000,"(1, 0, -2)",1,Ag2Hg2O4,3374,HO2,3.80264050000005
283,32420,mp-997001,"(2, 1, 0)",1,Ag2Hg2O4,14414,OH,0.8461032500000363
284,42678,mp-997000,"(1, 2, 2)",2,Ag2Hg2O4,42586,HO2,3.8391313299999985
288,21573,mp-997001,"(1, 1, 1)",1,Ag2Hg2O4,8504,HO2,4.892240500000011
289,38185,mp-997000,"(1, 1, -1)",1,Ag2Hg2O4,24844,HO2,2.274204769999981
290,32426,mp-997001,"(1, 0, 1)",1,Ag2Hg2O4,15150,H2O,-0.3572461200000081
291,20639,mp-997000,"(1, 1, 1)",1,Ag2Hg2O4,1448,HO2,4.043961309999984
292,28350,mp-997000,"(2, 1, 2)",2,Ag2Hg2O4,11328,OH,1.908092835
293,13081,mp-997000,"(1, 1, -1)",1,Ag2Hg2O4,24844,O,-0.0941285700000402
296,45830,mp-997001,"(1, 2, 1)",2,Ag2Hg2O4,43511,O,2.48317352500001
297,43179,mp-997000,"(1, 2, 2)",2,Ag2Hg2O4,42586,O,2.5963061300000003
299,41617,mp-997001,"(1, 2, 1)",1,Ag2Hg2O4,43511,H2O,-0.5476361699999988
300,38413,mp-997001,"(1, 1, 1)",1,Ag2Hg2O4,8504,H2O,-0.1460395299999906
301,16592,mp-997001,"(0, 1, 0)",1,Ag2Hg2O4,35624,O,1.913317839999988
303,45658,mp-997000,"(1, 2, -3)",1,Ag2Hg2O4,43788,O2,5.021442769999986
305,31856,mp-997000,"(1, 2, -1)",1,Ag2Hg2O4,40427,HO2,4.391929029999997
306,11839,mp-997000,"(1, 1, -1)",4,Ag2Hg2O4,15997,O,2.803676542499997
307,31092,mp-997000,"(1, 1, -1)",1,Ag2Hg2O4,15997,H2O,-0.126592920000002
308,2174,mp-997000,"(2, 1, 2)",1,Ag2Hg2O4,11328,H2O,-1.6261002599999816
309,44673,mp-997000,"(1, 3, -3)",1,Ag2Hg2O4,44364,O2,5.018464349999981
310,45033,mp-997000,"(1, 2, 2)",1,Ag2Hg2O4,42586,H2O,-0.1065204399999917
314,31030,mp-997001,"(0, 1, 0)",1,Ag2Hg2O4,35624,OH,0.9492704899999842
315,41721,mp-997000,"(2, 3, 2)",1,Ag2Hg2O4,42117,H2O,-0.7275611500000085
316,40845,mp-997000,"(1, 2, 2)",1,Ag2Hg2O4,42586,O,2.72856224
317,44597,mp-997001,"(0, 1, 3)",2,Ag2Hg2O4,44052,O,2.281591630000006
319,6814,mp-997001,"(2, 0, -1)",1,Ag2Hg2O4,17776,H2O,-3.5549143700000005
320,42900,mp-997000,"(1, 2, -3)",2,Ag2Hg2O4,43788,H2O,-0.4683808250000059
322,36387,mp-997001,"(0, 1, 0)",2,Ag2Hg2O4,13911,O,2.4735903049999997
324,30629,mp-997001,"(1, 0, 1)",1,Ag2Hg2O4,15150,O2,5.20479778
326,41415,mp-997001,"(0, 1, 3)",1,Ag2Hg2O4,44052,HO2,4.414015440000012
327,27080,mp-997000,"(1, 2, -1)",2,Ag2Hg2O4,40427,O,2.4493508649999973
329,41295,mp-997000,"(1, 3, -3)",6,Ag2Hg2O4,44364,O,2.4768783833333314
330,13976,mp-997001,"(1, 0, 1)",1,Ag2Hg2O4,15150,O,2.8789249899999994
333,19315,mp-997038,"(1, 2, 1)",4,Ag2Pd2O4,16348,O,2.3111184850000064
334,10093,mp-997038,"(1, 2, 1)",1,Ag2Pd2O4,11265,H2O,-1.7015211699999728
336,42216,mp-997038,"(0, 1, 0)",1,Ag2Pd2O4,45324,HO2,4.9276689199999995
339,33714,mp-997038,"(1, 2, 1)",1,Ag2Pd2O4,16348,H2O,-0.6398835900000055
340,1854,mp-997038,"(1, 2, 1)",1,Ag2Pd2O4,16348,OH,1.1019736400000204
341,11799,mp-997038,"(1, 2, 1)",1,Ag2Pd2O4,16348,O2,7.296303730000027
343,15390,mp-997038,"(1, 2, 1)",1,Ag2Pd2O4,11265,O2,4.485686180000009
344,45029,mp-997038,"(0, 1, 0)",1,Ag2Pd2O4,45324,O2,4.477429169999986
345,45339,mp-997038,"(0, 1, 0)",8,Ag2Pd2O4,45324,O,2.803865739999997
346,42877,mp-997038,"(3, 2, 3)",2,Ag2Pd2O4,45902,O,2.3606631849999906
347,43350,mp-997038,"(3, 2, 3)",2,Ag2Pd2O4,45902,O,2.9987540000000172
350,38486,mp-997038,"(1, 2, 0)",1,Ag2Pd2O4,80647,H2O,-0.8116491499999885
352,43675,mp-997006,"(1, 2, 3)",1,Ag2Pt2O4,42458,HO2,1.7775026799999953
353,33322,mp-997006,"(2, 1, -1)",1,Ag2Pt2O4,13606,H2O,-0.6932036800000052
354,45625,mp-997006,"(0, 1, 3)",1,Ag2Pt2O4,41537,H2O,-1.1713391800000128
355,41765,mp-997006,"(2, 1, -1)",1,Ag2Pt2O4,43308,O,2.1592168299999606
357,25880,mp-997006,"(2, 1, -1)",1,Ag2Pt2O4,13606,HO2,3.770547329999997
358,25816,mp-997006,"(1, 0, 0)",1,Ag2Pt2O4,7090,H2O,-0.1171136899999911
359,43103,mp-997006,"(1, 2, 3)",4,Ag2Pt2O4,42458,O,2.4486878050000036
360,42739,mp-997006,"(2, 1, -1)",1,Ag2Pt2O4,43308,O2,3.30521645999999
361,41635,mp-997006,"(2, 1, 2)",1,Ag2Pt2O4,41361,HO2,1.1182593700000016
364,1031,mp-997006,"(2, 1, -1)",2,Ag2Pt2O4,13606,O,2.975124810000009
365,27206,mp-997006,"(1, 0, 0)",2,Ag2Pt2O4,7090,O,1.9363778600000192
366,28099,mp-997006,"(2, 1, -1)",4,Ag2Pt2O4,21898,OH,0.5549058999999892
367,2282,mp-997006,"(2, 1, -1)",2,Ag2Pt2O4,21898,O,1.458804324999986
369,44012,mp-997006,"(2, 1, -1)",1,Ag2Pt2O4,43308,HO2,1.7506331099999646
370,25366,mp-997006,"(2, 1, -1)",4,Ag2Pt2O4,21898,O,1.8135158499999995
371,8280,mp-997006,"(1, 0, 0)",2,Ag2Pt2O4,79740,O,1.8967696200000124
373,21895,mp-997106,"(3, -1, 0)",1,Ag2Rh2O4,9313,HO2,3.050504250000015
375,43660,mp-997106,"(1, 0, 1)",2,Ag2Rh2O4,45891,O,0.7061249049999934
376,42119,mp-997106,"(1, 0, 1)",1,Ag2Rh2O4,45891,O,1.4087988400000004
377,11152,mp-997106,"(3, -1, 0)",1,Ag2Rh2O4,9313,OH,0.265166090000074
378,35445,mp-997106,"(3, -1, 0)",1,Ag2Rh2O4,15111,H2O,-0.8307618100000074
380,7106,mp-1018033,"(1, 0, -2)",1,Ag3Rh3O6,1011,HO2,3.3345901899999695
381,17449,mp-1018033,"(1, 0, -2)",2,Ag3Rh3O6,1011,O,1.603539919999972
383,26615,mp-996977,"(2, 1, 0)",2,Ag4Au4O8,40144,O,2.0228294150000163
384,26930,mp-996977,"(2, 1, 0)",1,Ag4Au4O8,40144,H2O,-0.7255668500000017
385,321,mp-996977,"(2, 1, 0)",2,Ag4Au4O8,3154,O,2.133001409999989
386,17639,mp-996977,"(2, 1, 0)",1,Ag4Au4O8,3154,H2O,-0.9760450300000176
387,5911,mp-996977,"(2, 1, 0)",4,Ag4Au4O8,6128,O,2.3146068424999964
388,11667,mp-996977,"(2, 1, 0)",6,Ag4Au4O8,6128,O,2.505045136666664
389,36849,mp-996977,"(2, 1, 0)",1,Ag4Au4O8,6128,H2O,-1.7003117199999966
390,8627,mp-996977,"(2, 1, 0)",2,Ag4Au4O8,3154,O,2.475421385000002
392,15658,mp-775774,"(0, 2, 3)",1,Ag4Bi4O12,3932,HO2,3.92101610999998
393,16109,mp-775774,"(0, 2, 1)",1,Ag4Bi4O12,17717,H2O,-0.0769339399999982
394,399,mp-775774,"(0, 1, 1)",1,Ag4Bi4O12,23161,HO2,4.155032439999983
395,24131,mp-775774,"(0, 2, 1)",2,Ag4Bi4O12,17717,O,2.470432290000003
396,31958,mp-775774,"(0, 2, 3)",1,Ag4Bi4O12,79476,OH,-0.10921756000000982
397,29082,mp-775774,"(0, 2, 1)",1,Ag4Bi4O12,19295,HO2,4.074909149999994
401,16893,mp-775774,"(0, 2, 1)",2,Ag4Bi4O12,19295,O,2.0998353399999963
402,10073,mp-775774,"(0, 2, 1)",2,Ag4Bi4O12,39657,O,2.4472441750000065
403,36472,mp-775774,"(0, 2, 3)",1,Ag4Bi4O12,79476,HO2,1.4577098299999964
406,13667,mp-775774,"(0, 1, 1)",5,Ag4Bi4O12,23161,O,2.491854694000004
407,29372,mp-775774,"(0, 2, 1)",1,Ag4Bi4O12,19295,H2O,-0.7774096200000091
408,18518,mp-775774,"(0, 2, 1)",1,Ag4Bi4O12,39657,HO2,4.331313789999993
409,32297,mp-775774,"(0, 2, 1)",1,Ag4Bi4O12,34056,HO2,4.334366239999977
411,11979,mp-775774,"(0, 2, 1)",1,Ag4Bi4O12,17717,HO2,4.34281505999999
413,14145,mp-775774,"(0, 2, 1)",1,Ag4Bi4O12,39657,O,1.6764440000000012
419,37831,mp-775774,"(0, 2, 1)",1,Ag4Bi4O12,34056,H2O,0.0440693599999857
420,12346,mp-775774,"(0, 2, 1)",3,Ag4Bi4O12,19295,OH,1.2888447833333312
422,14827,mp-775774,"(0, 2, 1)",1,Ag4Bi4O12,34056,OH,1.2726742299999876
423,5941,mp-775774,"(0, 2, 3)",1,Ag4Bi4O12,79476,H2O,-1.0800136899999817
425,35101,mp-775774,"(0, 2, 1)",3,Ag4Bi4O12,34056,O,2.2013635066666644
427,31512,mp-5495,"(1, 3, 3)",2,Ag4Pd2O4,1423,O,1.5859535300000094
428,30238,mp-5495,"(1, 0, 0)",1,Ag4Pd2O4,40232,O,1.635431090000023
430,42766,mp-5495,"(1, 0, 2)",2,Ag4Pd2O4,44613,O,1.2385211499999944
431,2604,mp-5495,"(1, 0, 2)",1,Ag4Pd2O4,316,HO2,3.261950679999982
432,12289,mp-5495,"(2, 1, 1)",1,Ag4Pd2O4,18976,OH,2.339389669999983
