sid,OH length 1,OH length 2,OO length,OOH angle 1,OOH angle 2
41876,[2.7389694763145638],[0.9769168337381884],[2.518470008594112],[20.87705098691321],[92.38647863825472]
16123,[4.467417986781249],[0.9728586839511174],[4.134269787079727],[12.209035785383175],[103.80286699561957]
12700,[1.890041635088836],[0.9794318126921142],[1.4834493241170732],[30.861370008673333],[98.15790874922838]
13516,[1.9053834502014908],[0.9789651609985004],[1.4731176499903813],[30.394169564433536],[100.02402312461928]
71329,[2.2406991032811487],[0.9780660749691886],[2.5983411864255745],[21.74667308158377],[58.081875727740005]
39415,[1.9120339432180185],[0.9800310514680192],[1.460097483140984],[30.16716105841273],[101.35622296020804]
22561,[1.90412858110083],[0.9778495823210568],[1.4818426804854996],[30.4400304245607],[99.40667712040867]
32078,[2.329157003883408],[1.7268974963035195],[1.300325346998003],[46.96690071331858],[99.63860427695435]
12591,[2.4763603453724223],[0.9739931835178428],[2.780897213560638],[20.30556138486812],[61.92218495383396]
82361,[3.846577342999169],[0.9756268680287322],[3.528533129185236],[14.381896266228177],[101.67926513251066]
18612,[1.9210403152531872],[0.9801795429772392],[1.4804393418451784],[30.092133654253868],[100.68197865189543]
31561,[2.516372042997598],[0.9765827829312655],[2.71599469268066],[21.069855904401216],[67.87174996356839]
14644,[4.05998268552939],[0.9732295683063436],[4.058667361620391],[13.769855511686174],[83.19194936317675]
45459,[1.89184051596874],[0.9839599604858872],[1.464498770154153],[30.88118966545882],[99.30769232503198]
26301,[2.167154182099693],[0.9749552887009596],[2.550126315172274],[21.98658514385084],[56.32560835141841]
38985,[1.8708185557188093],[1.018462807522773],[1.458441519792418],[32.74549876673214],[96.48732344440148]
9780,[1.9192267321739531],[0.980568242685288],[1.4859713782719488],[30.193012904143327],[100.154999325232]
4818,[1.924359719218536],[0.9797760785371052],[1.4968074914956069],[30.106457116356804],[99.86997941996836]
1203,[3.1577843934486483],[1.0640396671998575],[3.2534728735650043],[19.03051302648345],[75.39637181087059]
15075,[4.076745260929941],[3.942830043764292],[1.232736517761504],[75.04623377627136],[87.37212030278103]
36804,[1.902628447393504],[0.9997129207016664],[1.4638937918949215],[31.22472301089645],[99.3908253854094]
11293,[1.8579728459557487],[1.034851446687758],[1.4421097995030137],[33.6508471482009],[95.7968790793241]
32779,[4.894046616439392],[4.164714634977798],[1.2399597364734969],[47.852372696305245],[119.394989746226]
7262,[1.984258771769532],[0.986188925122208],[1.5245695012616889],[29.052079808909603],[102.29637204674444]
20200,[3.0864737931866717],[0.9731026280325512],[3.1371295464338047],[17.966993350443047],[78.0692054394636]
14267,[3.720599220033224],[0.9734680740955094],[3.4643178028722827],[15.030651053105458],[97.61437218023354]
7536,[1.9511861950861715],[0.9908559680072816],[1.49282942650888],[29.82694667121768],[101.63819803680046]
76648,[2.571065723601654],[2.4992132020656235],[1.5069746515555908],[70.11837756519867],[75.33752258469069]
36253,[1.942738229265338],[0.9755893510175636],[1.504877842788657],[29.539792360910837],[100.95090920544467]
83265,[2.5862475936400124],[1.6719023622257054],[1.4671531854546314],[37.18479678626159],[110.78464295733198]
663,[1.8829348499842025],[0.9827912074590884],[1.4023179189870478],[30.58874472894417],[102.85115589078228]
34484,[1.970028436711207],[0.9779806960708338],[1.509834155031087],[28.97617343548641],[102.61492949220946]
8854,[1.9072821114289449],[0.9800770347504356],[1.5532850863098466],[30.79168157604331],[94.98334507115652]
42139,[3.614441225184312],[0.9852898002165978],[3.20028342413218],[15.104722674520511],[107.0737246461913]
6935,[1.8969810651894548],[0.9816878298782076],[1.460496312465569],[30.6315559108582],[100.07792098510184]
33591,[2.7808439087764776],[0.9741123691096436],[2.93987276215721],[19.34991159100849],[71.06397943809051]
21029,[3.4372166239403867],[0.970163993418459],[3.260893206620275],[16.382592133107565],[92.1721613851019]
38362,[1.893791757185418],[0.9822040452078354],[1.4367612749902583],[30.55915583734025],[101.3911835882928]
1889,[1.92223436685922],[0.980466349607742],[1.4876605033162296],[30.124464327239632],[100.27873528341009]
32495,[1.0076061210932066],[1.7644999797819974],[2.767836761033439],[4.209669632996313],[2.402445894133429]
24915,[3.0219929145929285],[0.9727398372609476],[2.546949586041193],[17.59983426808445],[110.05591458692032]
17539,[1.892310780841829],[0.981611949758302],[1.4437463532458306],[30.629685955787945],[100.83625075388656]
69487,[1.9020759675012693],[0.9798688694445774],[1.4641788826738296],[30.452728261333903],[100.3177367084012]
71452,[2.4582211282871107],[0.9793994607594112],[2.764654876844998],[20.55473543954485],[61.79236506487071]
208,[1.9410673069984463],[0.9796251225292596],[1.493563344078249],[29.65415550386701],[101.37898461154168]
2395,[2.968125193069398],[2.5420438320506173],[1.2366765941284703],[58.12053288781827],[97.4792697310468]
16835,[2.72836347151922],[0.9761034810461802],[3.548366828258004],[9.762261218710746],[28.290885140386237]
30163,[1.8925839705361072],[0.9794020352120202],[1.459462205082408],[30.6474344411733],[99.92247799070752]
38537,[1.9182603953568444],[0.9790573506950287],[1.472297793420548],[30.05908407065889],[101.06925540811248]
32194,[1.856648668553764],[0.9888917386380902],[1.361323842669514],[31.231197785874464],[103.22671312523632]
22855,[1.9046127638929096],[0.9773584887813672],[1.4942268637602594],[30.484672417692845],[98.6564442265078]
28058,[1.8570222707931223],[0.9884517306304949],[1.3648390756785094],[31.23540314361271],[103.03828050229136]
73598,[1.8812791141789036],[0.9834101564129968],[1.4220687064037087],[30.83281445021588],[101.33726786893656]
28051,[2.7093307930122363],[0.9720352068167134],[2.686032070926464],[20.75246794737993],[80.97475538790252]
73412,[1.9774215496390768],[1.0292460077661765],[1.4465373287768948],[30.220874465110818],[104.75505115576124]
36471,[3.840593874350453],[0.9695192681485296],[3.431545507006346],[13.907073815574671],[107.80563846440576]
11264,[1.9131508084733704],[0.9772040286326588],[1.4532800100248782],[29.9681601754245],[102.0549349970838]
17301,[8.273572786229305],[0.9857261351980736],[8.71255950115467],[5.958717681273799],[60.61383818955015]
24639,[4.485317293326417],[0.9826601501267648],[4.81713294715369],[11.419991228938976],[64.6569271771246]
33491,[2.141418629639068],[0.9833527449215504],[3.0772549568045915],[6.744062240422415],[14.817061711000298]
77989,[1.8672656662148408],[1.0574662224282956],[1.3610898056665546],[33.85890602911408],[100.32384025792744]
6487,[5.309110125631763],[0.9797770156458832],[4.581857506126173],[7.6328084957713],[133.96763060817344]
15627,[5.29422238206291],[0.9684916055788056],[4.458999448761924],[5.784092147358807],[146.5705069457794]
34958,[1.8995210836088685],[0.9842488257906412],[1.4391471974856616],[30.50568907929093],[101.57201846621054]
72187,[1.8910809504542012],[1.0385112630291522],[1.394112139541992],[32.61648005458309],[101.03277575479818]
14513,[1.949141556221456],[0.9758857762607251],[1.5118682449648335],[29.44193942467085],[100.96065750264763]
26377,[1.965696482957047],[1.0415607004048038],[1.4410510245201924],[31.007860189009225],[103.53356707375184]
25254,[4.248914288756831],[0.978149738962805],[3.885817665852607],[12.833979287149091],[105.22968953484]
19881,[1.904068967420743],[0.9819190453564224],[1.4605428815793904],[30.456091949827616],[100.61028375306287]
20932,[6.23094055637173],[0.9713682709595576],[6.053478015988173],[8.918552729904327],[96.03517630523736]
34954,[1.986229650778473],[0.9955622986386424],[1.4714881704790037],[28.863928592687373],[105.6157140987804]
25518,[1.8662324245991744],[0.9900038823454412],[1.344458717536735],[30.802234472052955],[105.13730945735772]
38996,[1.9278225869557652],[0.9792058427227296],[1.488120839686409],[29.936127982601555],[100.74110085503914]
24394,[2.2849059208414326],[1.7350039994675786],[1.4284961983216256],[49.36611822484252],[91.96486008498694]
36610,[3.4991516571776797],[0.9834728754596088],[2.667119778134552],[9.846342979582706],[142.52369693991113]
25539,[1.9414383904166588],[0.981652849077946],[1.5017248735446191],[29.78483207887732],[100.75842461621173]
8634,[1.8944890569517825],[0.9785867152711988],[1.4827959617771975],[30.71500535847028],[98.57620172288586]
6075,[1.8917795295801023],[0.9790909184256597],[1.4347585645002847],[30.4709904543281],[101.53227574557414]
11740,[2.8754643962006483],[0.979632493490323],[3.37056851674655],[119.6856126277053],[90.84214804950996]
23448,[3.801731247812698],[2.586363186123926],[1.3364588190200926],[19.98152818043538],[149.8480587171891]
36981,[1.9158727233577757],[0.9824654870915496],[1.4832200805120104],[30.33361416247497],[99.98609526788172]
26486,[3.255784518484478],[2.817578980579084],[1.2592199938556652],[58.80445113954899],[98.7197219217578]
45261,[1.960594475095541],[0.9846942076070068],[1.5173714375139638],[29.535285976137622],[101.0331795681882]
18987,[1.8849258640150937],[0.9781054563379092],[1.4573077422815164],[30.77926140824469],[99.54058322599894]
28389,[2.212805568002691],[1.629072159364909],[1.3564471935930331],[47.15026379992425],[95.22776306853886]
30446,[3.5288076752680047],[3.363257243134679],[1.2803612362864747],[72.0803858895332],[86.68282086896674]
27418,[4.423946323487651],[0.9780466110920244],[4.200415102467012],[12.681436190752084],[96.78865198364988]
70382,[4.299059068702843],[3.995277633369015],[1.2332707155425109],[67.60102084970615],[95.81664284578252]
40131,[2.155369182896444],[1.512419169567318],[1.3452300842498734],[44.05055739785664],[97.74770065858104]
8418,[1.8619816593928504],[0.9847338985632432],[1.4030893468770929],[31.271669646668148],[101.02841387842132]
27582,[1.850938261274877],[0.9930805238646704],[2.734646123578108],[11.557788173664925],[21.927363771671025]
16981,[1.9315076297841167],[0.9736444795463272],[1.5107513506253634],[29.784579249779743],[99.7927739545397]
74582,[1.933239273796472],[0.9790439206523948],[1.4797348655517042],[29.72533524309306],[101.73444520168457]
11090,[2.9775486985590547],[0.9695012911752532],[3.14500773492589],[17.952778760077567],[71.20023281497895]
1834,[4.002206840461691],[0.9700710959475092],[2.6723018464922474],[114.30307436833056],[112.81994190897346]
39,[1.8655868161106757],[1.0013296817943962],[1.4524511063040868],[32.16918215259209],[97.27096288091082]
23555,[4.187654096708803],[0.964062159301708],[3.2821829193624628],[5.116608105356397],[157.20783332862462]
11856,[1.936898566904921],[0.976841669709015],[1.5239796652079798],[29.859690557743484],[99.17692609104093]
36654,[2.011065166463996],[1.0237131678962323],[1.4953956760586091],[29.54456187510851],[104.3762232124504]
68749,[1.9112794591987745],[1.006498903099764],[1.4744485393175657],[31.337638196863868],[99.03212307823708]
29310,[1.937320934254985],[1.0048728102438955],[1.491615201579155],[30.722042113471],[99.96061124285352]
7223,[1.8990287914609965],[0.9793051691049892],[1.4779567352152958],[30.600624316471404],[99.20202398715423]
25921,[3.4034017411992696],[3.956546585234672],[1.28566205820155],[106.04100244411038],[55.76149574875125]
82267,[2.3867251838449484],[1.753700885876922],[1.2983363399026244],[45.98082582260876],[101.85246786087524]
31325,[3.1895038482759137],[2.240973844264584],[1.2802621880647158],[33.75512263893078],[127.7368079436846]
33106,[2.090315149358169],[0.9824969910347326],[2.870148060639754],[14.014570156988034],[31.012614317447152]
36582,[2.242720605022328],[1.4009735271376562],[1.3390502318817428],[35.984069665125304],[109.85010086063282]
31984,[1.911346851936928],[1.0068604307609754],[1.4509613264027643],[31.191609604673936],[100.5344775804388]
71458,[1.9015930868397284],[1.0176965594407708],[1.4602585238187735],[31.94241752621057],[98.669141750245]
12129,[1.053017205583664],[1.5169636181764752],[2.500110158520644],[16.123150021563976],[11.114512540572852]
77162,[2.7343443043962834],[2.9117394983962868],[1.2548573746659488],[85.2096684914651],[69.3570695869655]
12252,[1.8944423353462672],[0.9797863263817208],[1.452725991529762],[30.56650040747544],[100.4947558664978]
7361,[1.9178308539770303],[0.976400138499044],[1.4904899270447107],[30.096114817452424],[99.95467450657142]
41545,[1.9024330321244065],[1.008989807183027],[1.4323846821991002],[31.37905215964118],[100.9581495853651]
30369,[1.9527829512899968],[0.9853188995401574],[1.499324632449448],[29.620375099989587],[101.60838491943484]
15059,[3.74225059443898],[0.972097837234146],[3.620099623707421],[15.055669189734466],[89.6283254326361]
4873,[1.87050783414214],[0.981159527534033],[1.436082517947333],[31.13625584553875],[99.67897582815333]
16177,[3.602944613089788],[0.9703935244338828],[3.3007165725156336],[15.36681330719488],[100.29465078250016]
9145,[2.6945626279960697],[2.763420566481951],[1.3465337402467557],[78.57583792025692],[72.89430076530984]
17340,[3.91013258840344],[0.9711562920633736],[3.1931512110970366],[10.6368066351266],[131.99706893038783]
30912,[3.975475877147016],[4.321342845575698],[1.2911989388462048],[96.72601079832586],[66.01212482153268]
31366,[1.9154781511542944],[1.0045738836263085],[1.4704602798211683],[31.128374526899307],[99.6971298879097]
41635,[1.954314890437489],[0.9797997585450998],[2.8997738217131226],[6.191623799602442],[12.42293806882471]
28624,[4.163525526581308],[2.70804364047797],[1.4666504615772338],[5.699033716333632],[171.21802387205608]
15544,[1.9312967380743096],[0.9741352498073452],[1.5001032547537607],[29.73639669389715],[100.46122307923098]
43721,[2.5022165120371582],[0.9744249701995876],[2.667434197102459],[21.422004348800037],[69.69880836155497]
7245,[1.8398580358935763],[0.9910154734027402],[1.3466717238608776],[31.69103979031126],[102.75809336197932]
75438,[4.13509917897833],[0.9655875260853994],[3.303862204121744],[7.621869877696363],[145.38883134503416]
31853,[1.9241093498297688],[0.9811792188219606],[1.4943302459279553],[30.150712604711654],[99.94550989471178]
35064,[1.906180922586224],[1.126467677565743],[1.3354246320921117],[35.43805560361422],[101.13902716509853]
2895,[3.914908204432976],[0.9745807694363854],[3.0746572079609478],[8.160842361941558],[145.23404538816266]
4512,[3.112575616583572],[0.9747090943610658],[3.161866962834946],[17.851217836494],[78.21081997248835]
12690,[2.9771324590614685],[0.971540900013037],[2.8033297561630017],[19.04521123231474],[90.63920918164824]
33293,[4.18881251742887],[0.969756559600406],[3.978144976997512],[13.3161945648026],[95.8027512153715]
18972,[2.298999026258994],[1.6186230431186803],[1.5087624790167464],[44.573043289334734],[94.56918231143588]
7244,[3.847229923417231],[0.967412239269026],[3.527690678779648],[14.237946283686568],[102.01370328236932]
39179,[3.210279867761108],[0.9701127312558284],[3.129197173870102],[139.62259362479676],[116.71291720176325]
43826,[5.113869936982581],[0.9715445738466938],[5.065076862303406],[10.940295920507143],[87.39546061725336]
73098,[1.889640400643716],[1.028516802883742],[1.3780168603110867],[32.09818811150018],[102.50906813657748]
22584,[1.860302278509453],[0.9932299495821942],[1.4098725499571796],[31.72154471590173],[100.00310652459646]
14362,[1.9047636703014563],[1.005742972887258],[1.4539478400977826],[31.34283721048408],[99.89638637352888]
31677,[1.8926727266656371],[0.9805679882015598],[1.442463381505012],[30.56794366921336],[101.00459348027567]
239,[4.5675542948619325],[0.9663878721179536],[3.636960048628512],[3.6637005133773495],[162.42111911069816]
76633,[1.8713880057717267],[0.9938948044529632],[1.4504968982457949],[31.715024661207107],[98.18163806456856]
2909,[1.8929531676450289],[0.9823451161223312],[1.4493145577626148],[30.68364276908458],[100.4764622129906]
69579,[1.8427903343122731],[0.9866947039591734],[1.3712225681202983],[31.640114556636224],[101.55570094642913]
8160,[3.605550775405158],[1.0032019345581589],[3.1483879742282928],[15.230518023139805],[109.23655155149063]
15569,[1.9471414167266696],[0.975814976612748],[1.505300318400333],[29.440557047371005],[101.25162144630372]
1195,[1.9196210503011408],[0.9961541158323628],[1.4522665081686887],[30.548596935967204],[101.63543219909356]
71905,[2.7627490523718845],[0.9707241103928712],[2.794373054486905],[20.109737613385725],[78.10691718080453]
26498,[2.556838399661644],[0.9735586424473182],[2.658290152102361],[21.403716778235285],[73.42106079757669]
26080,[1.896147998525013],[0.984819945351375],[1.43908106717663],[30.62001437537876],[101.28245498806685]
2057,[1.9673195956640437],[0.9755435829240904],[1.499922438843557],[28.86502575059835],[103.2126627103452]
23957,[2.4457402132579507],[1.9746290783287053],[1.424699414721665],[53.8367909360552],[90.53683277387888]
1754,[1.9189520511574985],[0.9824599224787348],[1.4710352966195666],[30.16639846635259],[101.03387895076052]
71267,[2.2139042827461504],[1.638403930655172],[1.294426840512873],[47.22254117967716],[97.3341586741717]
13799,[1.9309590916590296],[0.976741260744016],[1.5121001886331706],[29.92577434006948],[99.51189475714598]
23855,[1.9289981527706708],[0.9848054708253527],[1.4874124380452671],[30.120390703365917],[100.5977723498236]
38185,[1.6953379067832826],[1.010542671224067],[2.690003132418139],[4.788665847685065],[8.050826765743182]
12646,[3.5475543743485094],[0.9672683595239402],[3.604670167410288],[15.518227132413497],[78.88671368488974]
71201,[1.9296518705545207],[1.0368357074562171],[1.4429250169264725],[31.84341331730056],[100.91351564437176]
45373,[1.882502882041033],[0.9973718992294748],[1.432605088465497],[31.4495067069965],[100.00973404393824]
1443,[1.9411186286284208],[0.9795541516738988],[1.5004650024083082],[29.70214636693408],[100.92302663160856]
22671,[1.920982596118029],[0.9781936483821836],[1.492936908540822],[30.103458634241363],[99.94553652033754]
43688,[2.3011809842905087],[1.753483334302427],[1.2923057099357649],[49.14320026112044],[96.9790515962442]
34211,[3.58171352723496],[0.9741059326562168],[3.663404929915752],[15.39984632050633],[77.5329098493634]
72921,[1.885692312140394],[0.9850054972515184],[1.407825064401284],[30.652861570146708],[102.57085369511506]
37046,[1.9313845922662476],[0.9836826769931996],[1.4821059196149249],[29.97539711841061],[101.1923850256507]
29464,[2.199838132957108],[0.9804362460688004],[2.8712016876147626],[16.344740793891294],[39.15517919644427]
15749,[4.0348090350917865],[0.9687667560643932],[3.612212163978119],[13.111632318976406],[109.1257448392353]
19768,[1.942581716366428],[0.978250732403556],[1.5029107107697206],[29.632519492460872],[100.9373772990728]
20163,[1.9519833087638796],[0.9986735095970192],[1.4536699364186816],[29.771365189076384],[103.94545270106838]
6904,[2.944281172109936],[2.731434018134216],[1.2562072353230904],[67.87416790458677],[86.90935427082067]
24046,[1.9544568167898104],[0.98013101600215],[1.5045766643312877],[29.41665706094708],[101.64842522635752]
14874,[1.876878622707012],[0.9788467800749237],[1.4522841137376954],[30.983771430105143],[99.21716199206548]
32988,[2.575319214321547],[1.7516617528788392],[1.303750309983218],[38.38490542028391],[114.08835551230386]
14857,[1.903263795540592],[0.9774040773231878],[1.4755246832391282],[30.402998750521142],[99.77932771342768]
42538,"[1.9250379004173692, 1.945289996942654]","[0.9813848622564229, 0.9814591011894062]","[1.4745817333286977, 1.504162618974025]","[29.99188528570977, 29.69785959418481]","[101.3230842255273, 100.90143500146186]"
81710,[2.524275654949646],[1.8331024990127425],[1.3323239385039365],[44.63050259977973],[104.66503623998597]
2460,[2.385545951981332],[1.7541207533181444],[1.4840668735976654],[47.139544971214],[94.53246408402634]
38791,[3.4207021685305],[0.9741043898963062],[2.465917106672052],[3.8089512718271386],[166.50989861617222]
10429,[1.9176457114629104],[0.97877258284385],[1.4972279816082834],[30.237055255933218],[99.37992836751812]
3850,[4.251086431789572],[4.07971395788047],[1.2858176591236463],[73.63074908274272],[88.76755886845858]
21869,[3.045054517820938],[3.1755160199476684],[1.2786885364171552],[83.92971825748579],[72.46626357268775]
29946,[2.679663404060346],[1.832691015905424],[1.333131334746109],[38.40213419893408],[114.73510854071212]
27315,[1.921095318331233],[0.978227711471288],[1.5170400876823142],[30.249981343837373],[98.37443003695157]
37819,[2.009883847438932],[0.9817747327461],[1.5405043469082984],[28.36675494417627],[103.43103340274789]
41953,[2.0427682163220773],[1.0081229402359075],[1.4633502360440402],[27.60510308793914],[110.12558683338764]
34908,[3.545655545401264],[0.9655109205482996],[3.1472718745587973],[15.128652417406212],[106.57919143543236]
18662,[1.9298988789944096],[0.9779330499965416],[1.5033717025084763],[29.940936309334184],[99.94927453953837]
32484,[1.89407114396613],[0.9821790293443006],[1.4703567645262383],[30.79115126331017],[99.18181105968146]
71580,[1.898209340466125],[0.9776843501174942],[1.4795425283673669],[30.567480175581245],[99.11457255642397]
11743,[1.883630927919679],[0.98353521837588],[1.399447407951279],[30.572832508030903],[103.06458328275409]
38286,[1.939487106724256],[0.9784946681736286],[1.5030790616913676],[29.721183470642547],[100.67565050239122]
2241,[1.9824852010210543],[0.976941875534092],[1.5225729301316286],[28.724355885723643],[102.77062172895847]
10956,[3.273837183898395],[0.9753244175012512],[3.1225840557699724],[17.332338306846854],[90.15258350673584]
83424,[1.90100174406414],[0.9787539250568668],[1.4835099427970742],[30.564094817916143],[99.01525615931348]
72985,[1.8816219159274543],[0.9789894407986984],[1.4637021143033655],[30.93941046454719],[98.8245818502414]
37616,[1.884607151166835],[0.9821843336298848],[1.4129870089280738],[30.612536739997164],[102.2837911732274]
21910,[1.9245185720719973],[0.9833951580618524],[1.4872042101759335],[30.177902810054587],[100.33841651389116]
21858,[4.117938676739985],[0.9732685962050738],[3.541566468144421],[11.787052064765287],[120.19769046972594]
72614,[3.630524111982759],[0.9762607566167086],[3.5620466514194398],[15.563923412577669],[86.20311330479132]
17436,[1.9011863810533935],[0.977093368561974],[1.4899842562229573],[30.53361126318022],[98.68642104436228]
72090,[1.8605253683373648],[1.0507420312551548],[1.335960158514567],[33.56483402909658],[101.77047622220628]
26999,[2.3871332187451664],[1.9415002917153512],[1.296340836151457],[54.32393637802903],[92.82948598851068]
17202,[1.883663229782736],[0.9796921589709608],[1.4669881913390648],[30.935447907967024],[98.73131666993844]
7466,[2.6790868326437107],[0.9754903765017864],[2.667765995480259],[21.022676158482646],[80.14245120340473]
33198,[1.9298651653679648],[0.977542390430887],[1.4893409580753942],[29.827730884487163],[100.90096447231808]
17508,[11.05572980752017],[0.9743318611807582],[11.394676594606851],[4.664389426590908],[67.32794996152118]
22872,[1.909730709688535],[1.0044620851072006],[1.485667207434702],[31.363076303010637],[98.30147014905069]
136,[1.941190134318741],[0.9831324926235776],[1.4827737988171068],[29.70313534003218],[101.93731372791676]
43182,[2.8477746107518778],[0.9723608415871317],[2.90981177360604],[19.406945816021747],[76.69094354459375]
2706,[1.9138199494183328],[0.979518773349416],[1.4909323360936495],[30.32099498696688],[99.46620466353365]
38220,[4.754788622115711],[5.219616004355387],[1.2716403558778917],[113.1206402244322],[101.72319961059338]
27631,[2.605021506328392],[0.9738133995667582],[2.7308488348617086],[20.858778821203437],[72.26994120741124]
17663,[3.9317181738070257],[0.9728502147809374],[3.3735680280460545],[12.560629849055426],[118.48968516319282]
11834,[1.9244079286293936],[0.9851643960956042],[1.429025002042881],[29.75484901287733],[104.1996853574108]
25720,[1.8634112839893395],[0.9826633223820872],[1.401710299300165],[31.13415576883855],[101.34425844680396]
1209,[2.017844350749955],[1.1238419936993709],[1.337479162002578],[31.59590744010479],[109.83039225130356]
71933,[1.912511766290221],[0.9792096949750454],[1.4956027026013667],[30.370660609661897],[99.07572202699713]
42378,[2.776964719450419],[2.3429265966173105],[1.3058363428467448],[57.21235480754349],[94.84696870727156]
14107,[0.9975877957966705],[4.247601641248208],[4.734895451182111],[55.341723854998],[11.13873342325993]
17047,[1.8898127763342645],[0.9783404232843036],[1.444773532200878],[30.57203089688948],[100.74124628585874]
72559,[2.8600632023689045],[1.999529543427062],[1.277467586573487],[37.28677132633513],[119.94284691221834]
1077,[4.139983770552798],[2.4730299224391934],[5.83545552165007],[158.12315627325833],[175.8003862323703]
34514,[2.509041021735578],[2.082710096818293],[1.2711229203845544],[55.92963498614364],[93.70183118125992]
71381,[1.940162110914844],[0.990302078734546],[1.4884213665371164],[30.056508392112345],[101.11154684221886]
21812,[2.3393858787744506],[1.704157263517962],[1.3518665020470713],[45.97038450318591],[99.254989697187]
17713,[1.901618152665287],[0.9801683270814712],[1.4757441560784774],[30.555078246443973],[99.50251970535828]
78061,[3.238993543578641],[0.9693126946358648],[3.868444983179004],[11.953091943340604],[43.7940560073686]
35625,[1.930864806711843],[0.9813331581056703],[1.5197617544816873],[30.150477077487533],[98.78492555518048]
78331,[11.239834045946283],[6.840639695995637],[6.9245743249824265],[35.01392719676622],[109.4781335272479]
10640,[12.162863354301471],[0.9658626160981464],[11.397346576337124],[2.8663842997401416],[140.9701478503568]
77686,[1.8636480297412612],[0.9824819800229176],[1.4032378315191103],[31.132422162653988],[101.26932047056545]
22093,[3.376208655009316],[0.9707199731018784],[3.778534744090938],[14.207799308800896],[58.61083697995371]
27715,[1.9102064933598917],[0.983631954307247],[1.4598396880133535],[30.357626514187302],[101.0455836316956]
5208,[1.9228689578086275],[0.9837907723220278],[1.4619498495155905],[30.04390784038336],[101.88241095074454]
32770,[4.186593249102153],[0.9699442028028912],[4.034168074262753],[13.385053555320289],[92.28676997915665]
6316,[3.564900415543512],[0.9828982716535908],[2.661341579685353],[7.20116110475704],[152.95774867353873]
27702,[3.694820603141881],[0.9783430107419644],[3.41119719779046],[15.15542236703054],[99.1228600033252]
45104,[1.9493508043189511],[1.0193216870273027],[1.4474561918729305],[30.62508084363857],[103.04038212916936]
77536,[1.9202161460212992],[0.9828307587095784],[1.4704064949886764],[30.14322873380593],[101.15511650090758]
35464,[2.5176685883873504],[1.63508435307393],[1.4632752813333918],[37.99748556036332],[108.57106347136036]
