sid,OH lengths
18875,[0.9824751247497959]
23480,[0.9692123917159449]
10945,[0.9738693001964992]
72477,[0.9798134511421852]
25692,"[0.9645098021466227, 0.9946172624145104]"
43832,[0.9772159426062729]
77311,[0.9897052287369603]
69104,[16.05853435935179]
16831,[0.9852037199499107]
7330,"[10.196767872093194, 0.9705982218953305, 1.0257621254765459, 9.076985393093103]"
22508,[0.9731427350032682]
21956,"[0.9745916105989897, 1.8035347560382622, 0.9840305750401888, 0.974394000010375]"
71076,[0.9926920390801403]
81894,[0.9712431466467456]
33210,"[0.9725094172706432, 1.019908511852121, 0.9722451415395303, 1.0168586107206141, 0.9789405546709409]"
29435,[0.9806872369938547]
7369,[5.692491967241051]
33295,[0.9776253240193599]
5153,[0.9719390863440209]
32759,[0.9668502254989482]
37726,[0.9781325030725825]
15100,"[0.9717904263792988, 0.9659984607807607]"
33835,[0.9748202395737906]
30027,[0.9824314352367569]
75228,[0.9675172238784413]
76408,[0.9666523563365101]
16307,"[3.367937979135661, 0.9706745813682397]"
14385,[7.607556209975612]
69929,[8.989089526195693]
70246,[9.694748249080773]
72432,[0.9744415829246514]
13428,[0.9788220339947998]
45735,[0.9709277049388265]
7895,[0.9747557625162356]
73470,"[0.9995338048236841, 1.0125003221031161]"
14201,[11.642523776144575]
40194,[8.052016630071668]
34283,[0.9925839399668687]
11678,"[1.034749413417112, 0.987457699657919, 0.9814923612120063]"
21210,[0.9744859788541065]
5270,[0.987299546662578]
13596,"[0.9751964957490152, 0.9732801998995154]"
22630,[1.5814567604319658]
18601,[0.9824716924926018]
31978,"[0.9824796256181991, 8.276476914740288, 0.9701985262380645, 0.9672759132098535, 0.991948980693769, 1.0441759523301481]"
19831,"[0.9774341463037034, 0.9798861828532551]"
78563,[0.9687262693238473]
12222,"[0.9796320742146983, 0.9864124007661731, 0.9828895637746162, 1.5937291305845962]"
22275,[7.9522903586705995]
69380,[1.7029957242633385]
3899,[0.9784188744584985]
11785,[0.9702598551462758]
10840,"[0.9740182402077736, 0.9811277225355769, 0.9851112230649092, 0.9871729866867567]"
27237,[1.0740552902155165]
73473,[0.9809504913393715]
33822,[0.9755019040122247]
78668,[0.993678779069753]
75705,[0.9778405464975274]
3362,"[0.9722336321237947, 6.165081905434867]"
5909,"[0.9776140971672115, 1.0088177330072794]"
70952,"[1.9867284286966, 1.9485411073693886, 1.0225482224520772, 0.9745089404996177, 12.14571059348011]"
39685,[0.9689474288777452]
43288,"[0.981509659558717, 0.9793338165792113]"
15928,[0.9706497405923703]
75396,"[0.9669199645065968, 0.9842804876978414]"
39889,[0.980492762821581]
14525,[0.9716516153828586]
22893,[21.76186697959696]
6521,[0.9763396009230667]
18497,"[1.0257922252486207, 0.9885267848171959, 2.418716507118939, 10.786136913235074]"
16732,[0.98341007079907]
73542,[0.9687123776985062]
29729,"[0.9765770117840796, 0.9751371357537106, 0.9803119037377522]"
34858,[2.7832417432035244]
78680,[9.250758537429283]
34082,[0.9864681564741624]
75423,[0.9710583574731465]
17004,[0.9688454145250985]
10248,"[0.9920217233997104, 10.666101658781136, 0.9793806264234614]"
18632,[0.9727267843138001]
34341,"[0.977585796700071, 0.9878758446052268]"
21242,[0.970981344312267]
24853,"[0.9724960852933197, 0.9715331942458125]"
24800,[1.011660717899526]
32798,[1.0044427928795714]
19762,[0.9702608518471242]
78213,[0.9661562435817054]
11815,[0.9917324631237301]
30130,[0.9720921323261543]
68505,"[0.9920035638065224, 1.0316052349705056, 0.9917440623905202, 0.9712852922336429, 0.9809634567278801, 0.989882826764968, 0.9907127315573712, 3.2708111575836964, 0.9784197972839267, 0.9915860892223188, 1.033193166773525, 0.9789358284253695, 1.009635374629885]"
35220,[0.9813150552793268]
4664,[0.9706597065121687]
70793,[0.9746385444082837]
19879,"[7.288488290118113, 0.9733305749740232]"
7352,[8.332433011084683]
75224,[1.045824975724931]
40575,[0.975836740386682]
37504,[0.9726100126699333]
68845,[9.684978468476734]
28911,"[0.9769482488895275, 0.9772477917923951, 0.9870553688936844, 0.9757224295497666, 0.994194243198985, 0.9767768499744481]"
12402,"[10.935339506376422, 0.9755847393919559, 1.8152197288291365]"
158,[3.6658566076352184]
32235,[0.9715075665515259]
10519,"[0.971519162842282, 0.9777113244495064]"
41292,[7.578724611469752]
71146,"[9.504326416354148, 9.961636997200921, 0.9706401328295778, 0.9746616380186706, 0.9749111858819677]"
21751,[0.9847288689888981]
18843,[0.9896461371037806]
40313,[0.9720593469255092]
11303,[0.9683248943591821]
32223,[0.9948512805318346]
8019,[2.8841566242117262]
69657,[1.000116697263314]
71027,"[0.9986942466209932, 1.0321324119316728, 8.911622404407971]"
3083,"[1.0621496715612744, 0.9748321439340591, 0.9761296176752119]"
71818,[8.481179142883644]
32761,[0.9791415952073753]
14827,[0.9771392737147717]
8165,"[1.030210520127603, 0.9736037061926031]"
31522,[0.9765317135848764]
74787,[0.9725642549668769]
1278,"[0.9784979299232661, 0.9789560996254529]"
19114,"[8.776599625971818, 0.9758315820080165, 0.9796011408086843, 1.053245685802888]"
35816,"[0.9732624646599777, 1.0279063326456754]"
17179,[0.9734584044215129]
73189,[0.9767663658983597]
78958,[0.9803084214377036]
32667,[7.937898803249873]
44152,"[0.9718176887513483, 0.9823982659284796]"
78516,"[8.732189873229492, 0.987561413648003]"
6406,"[0.9807320465228437, 0.9770333630644542]"
44391,[0.9675722492150571]
7735,"[8.111658706838577, 5.027065118552293, 0.9922211810669913]"
10134,"[0.9761285915862778, 5.20788186968645, 1.0153620823797544]"
28160,[0.9743270478699907]
73085,[0.9801873181238123]
34825,"[0.9792932126556912, 0.9764693940900742]"
68934,"[0.9889256419146283, 1.0221333149025604, 1.0075102286410829, 10.403358442492486]"
76098,[0.9765901960543572]
18084,"[0.9718478918164978, 1.0831135914262995, 8.195264318198925]"
9879,"[0.9749162512996161, 0.9740747470047942]"
39078,[0.9797758679957074]
78432,"[0.9689989270644794, 0.9761009147499426, 9.948561851038832]"
35915,[0.9723965880764849]
30804,"[0.9702732840371707, 1.009559921309403, 1.0007438052214692, 8.879926393355733, 1.0607928365617842, 1.0638277154246638, 0.9782314656369714, 0.9973970228395475, 11.971859626750394, 1.0213769624567253]"
13055,[0.9723248136855436]
36029,[0.9720749463071156]
21387,[0.9735889961166186]
10413,[0.9733699400741308]
45157,[0.9685550280016149]
78765,[0.9643590427876466]
19570,[7.704613084054921]
37680,[0.9770211299678231]
41912,"[0.9891394655160822, 0.9900713576431773]"
27766,[3.3547997932684237]
2354,[11.04247551679975]
39767,"[0.9729957355936357, 0.9727925306670304]"
34166,[0.9722701435738393]
15697,[0.9748123335473011]
14353,[12.18284062077934]
83374,"[0.9797487249216901, 0.9793073133796856, 8.857887290942744]"
70535,[0.9701612958273048]
14887,[0.9697266778948052]
69499,[0.9708458145393648]
43030,[0.9964515550858289]
3234,[0.9916045577931947]
73114,"[0.9722716327118205, 0.9838202830629829]"
33549,[0.9723330230254091]
26201,[0.9727359486323055]
78531,"[0.9764740929531075, 0.9753420126235144]"
27480,[0.9714693253126926]
15530,"[0.9837611611020927, 1.789953571302059, 0.9828249489486843]"
32395,[0.9710752482229938]
30624,[0.9755806137096762]
15890,"[0.9682772353832201, 0.9978678126619206, 0.9830702920630283]"
15460,"[0.9940391044739072, 0.9755853134876888, 0.9761482147918451]"
40018,"[9.65818046131466, 0.9846513807935174]"
73558,[0.9696222897018876]
28777,[1.0118128645341935]
31217,[0.9681471040445532]
10938,[0.9732162852965209]
33092,[0.9893429589471975]
43508,"[11.956229931722513, 0.9697143316871847]"
81981,[0.9717402350664961]
43621,"[0.9907664040073707, 0.9842013105776722]"
33420,[0.9802239638732626]
24204,[12.1718267748168]
8069,[0.9765737650062524]
17561,[0.9753166992135655]
18359,"[0.9714773874321312, 0.972242477688395]"
14196,[0.9704374544643876]
5108,[0.9684065980568101]
14474,[0.971780546773168]
24345,"[7.383848278825988, 1.0476475382004447, 5.158861099992886, 0.9749557125156255, 4.3981076575493825, 0.9862210413474779, 4.443775580784236, 0.9735362088223247, 1.6884722987756202, 2.6497682538106027]"
24791,"[0.9859167152732019, 0.9856790340735555]"
24794,[1.0248876746434414]
15453,[0.9855538134867919]
31031,"[0.9716444106234124, 0.9730309560331268]"
14759,[0.9794818667298821]
34157,[0.992555223304359]
70165,[9.472581975414828]
41442,[0.9716946024504569]
37872,[1.0252161658924632]
40062,[0.9656978022407869]
10856,[0.9734145327594182]
78597,"[0.9709899462793276, 1.0167058361233368, 0.9808699844783154, 1.0255292850473066, 1.9600138189757348, 0.9801406242124555]"
40071,"[0.9810602107817421, 0.9783034777606784]"
74888,[1.6405988030774332]
21867,"[0.9987582230566432, 0.9718025976034026]"
19294,"[0.9780512531801531, 0.9857288019072309, 0.9765894259275393, 0.9964080813842398]"
74193,[0.9789547234835901]
14891,"[0.974665368269856, 0.975412091643086]"
1545,[0.971846268651466]
21973,[0.9752612951335566]
39962,[0.9781866744948687]
4501,[0.975509959995674]
82894,[8.446189090333407]
37460,[0.9749245149534131]
12740,[0.9746910431467097]
71118,[0.9724267365711642]
22119,[0.9713648595980334]
12825,[0.9682894367558263]
35026,[0.9742479849113594]
15292,[0.9722772528092902]
20384,"[8.751249826623503, 0.9806511283516272, 0.9770748897253839]"
30234,[0.9759454557453148]
26593,[0.9772219771837299]
4815,[0.9826331824315393]
42830,[0.9729711663584738]
4376,[8.99307427904799]
37328,[0.9736244200285159]
4302,"[0.9650993551401547, 0.9644531134199948]"
1214,[0.9802559834423821]
40824,[0.9724802729859403]
34864,[12.744003740837261]
83752,[1.0401914559238137]
38633,[0.98784977475889]
77948,"[0.9704776391382016, 5.661788441708823, 9.870249328668532, 4.390661793802313, 3.413707018139058]"
1983,[0.9693945563604217]
34444,[1.0138252466089988]
20683,[0.9986599704234401]
23266,[1.0122338051814148]
33730,[0.9736372728132074]
76480,[0.9713585336971696]
27640,"[0.971440135184698, 0.9982410560060793]"
26060,[0.9704968972211937]
75832,[0.9748875229067052]
12675,"[1.0121730942411498, 3.260698840216318, 10.122425914573615, 0.9793880672155056, 4.080346439356445]"
40035,[0.9817161623801848]
10731,[1.0303537503236875]
14666,"[0.9753171889380376, 0.9741053237577196]"
30979,"[0.9771655939658608, 1.5419081034291182]"
17210,[10.781650783029955]
74345,[0.9700195099296349]
38112,[0.9769499655798013]
25336,[0.976018852455738]
7830,[0.9781732942630509]
71612,"[0.9706326209927513, 0.9720776859090159, 1.0781878455882932, 1.0983609575450068]"
4050,[0.9881926418223711]
19590,"[0.9744405457248437, 0.9739369046920553]"
33122,[0.9721065875289084]
32975,"[0.9878273302020254, 0.9938802220930296]"
74759,[0.969872175793146]
40959,[0.9772083094554708]
12912,"[1.0529837679678613, 1.0425788291091442, 0.9902057632864566, 10.48713229018031, 0.9780505510522626]"
28350,"[0.983481685139974, 0.9781779453496875]"
14148,[0.9719782105076942]
37258,"[0.9712673585527787, 0.9730624208421483]"
40932,[1.000761829815728]
16376,"[0.9986268056137764, 0.9821604028891376]"
33202,[0.9975154342420403]
38444,[0.9837488924875748]
39012,"[0.9785552067113058, 1.0622361337226522, 0.9817752526814651]"
14519,[1.0027353349061459]
29463,[0.9737071401314585]
74855,"[0.9761339446250414, 0.9749496073909744]"
78054,[0.9733789677539724]
7723,[0.9815451757414773]
44073,[0.9718133595500442]
17529,[3.19619034835491]
74476,[0.9738277899743022]
41620,"[0.9752252755389116, 0.9823456579024313, 0.979743174971598]"
26774,[0.9752276265344528]
10526,[8.44552094204655]
25887,"[0.9772795417683938, 0.9824532464468695]"
26362,[0.9688649109753915]
76135,[0.9759200058709937]
69363,[0.9778498831246122]
16204,[0.9754782297108969]
71127,"[0.9659013428761345, 0.9851275838052708]"
82739,"[1.041208154544282, 1.72991797074446, 0.985904167549587, 7.317986520470432]"
5093,[0.97740140651502]
16373,[9.48317855720496]
23618,[0.9708844912147679]
45668,[0.9731227406821267]
72302,[0.9719711199723644]
21060,"[0.9778608076792928, 0.9787924323568382, 0.9794552277969751]"
35185,[0.9761443424831913]
27440,[0.9666897268734486]
28481,[8.308555347553003]
38632,[0.9880042417371262]
10624,[0.9746283503639209]
26395,"[0.9708995159190413, 0.9694713253757788, 0.9706255041403862]"
18771,[0.9902314055044018]
42887,[0.980749288242963]
76052,[0.9780871276231656]
24224,[9.717834631671707]
36541,[0.9773023834522223]
9794,[0.970737266402689]
72471,[0.9733611858088043]
20904,"[0.9760834307398806, 0.9772998832837326]"
31194,[14.523839333397875]
28046,"[12.522507040463637, 0.9808490529753975, 0.9775600938606834]"
15346,[0.9692837566880697]
34998,"[0.9753078348347421, 1.065750157303067, 0.9685788186823807]"
4441,[0.9862582769729064]
15694,[0.974193500526379]
24563,[0.9681161838057214]
8035,[0.9771123957554245]
8821,"[1.0209701807373597, 0.9771090825807225, 6.560575721608024, 0.9837487068742213, 1.0057800025603871, 1.0113155462916235]"
18580,[1.036446732486039]
32241,[11.840924727282147]
26479,"[2.3996591898708717, 0.9893568751282269]"
18188,[0.9988859514799538]
71410,[1.0144191584815025]
1656,[0.9856105510138331]
15041,"[0.9863830806447277, 0.9699735633534089]"
41500,[0.9862144360971762]
30031,[8.640029637783305]
76821,[9.359516270394858]
35627,[0.9717844619722076]
8862,[0.982942208827834]
36584,[0.9746891619989932]
34850,[0.9862006540872351]
35531,"[3.1513480188690117, 2.38808898500798, 9.549773307267255]"
41318,[0.9736474119915639]
8021,[0.9724348297492434]
7524,[0.983836704342881]
40106,"[0.9750758940406586, 0.9773115223197789, 0.9771347303138074, 0.9755121873080848]"
36414,"[0.9795949047622841, 0.9908855066234029, 0.9884956981845018, 8.113887992864022]"
30465,[9.364829378819065]
75502,"[0.9762442346501233, 0.976342848568403]"
37087,[0.9720196497206633]
21265,[0.9709253636840612]
74145,[1.0078605199993802]
3781,[0.9766866942746067]
23864,[2.150202794096895]
3073,[7.429098740424607]
15458,[0.9685558884372787]
7790,"[0.9696130502347934, 0.9714370277483543, 0.9966404721918363]"
29926,[0.9702471771848841]
7229,"[0.9687512388808841, 0.967648392622753, 0.9714886765988853]"
14841,[0.9755583048399209]
36994,[0.9786473058698941]
22245,"[0.9786402972716982, 0.9781187739700754]"
11909,[9.94723735407268]
69484,[10.16120987925726]
27128,[11.75457217802823]
74852,[0.9922531027992942]
17273,"[0.9714353139952929, 0.9733568739011138]"
29830,"[0.9763115573323141, 0.9752345761580083]"
2223,"[0.977078692587029, 0.9770773975625251, 0.9808564647413567]"
70849,[0.9774767172281741]
26304,[0.9791121076241704]
44955,[0.9827234239377978]
8085,[0.9905794178692646]
44987,"[0.9741058391367552, 0.9724532344466811]"
42793,[0.9741383098584551]
894,"[0.9700979451035591, 0.9866907395144685]"
6742,[0.9747749078960639]
5984,"[13.893627161325483, 1.0107833398459707, 0.9731288343834351]"
3684,[9.81899812729919]
35250,[0.9786992911268703]
78339,[9.108648715429677]
73683,[0.9742515582207558]
28035,"[0.980052612467444, 0.9914847792143029]"
7513,"[0.9757349587518164, 0.9714550133489553, 0.9825177006933697]"
20974,[7.870147743058004]
76405,[0.9695311867985607]
83753,[1.7608653037768767]
71699,[0.9774731743525326]
1642,[0.9782235839112395]
3947,[0.9702214314548736]
28317,"[0.9768769867236082, 0.9998998882141623, 8.481605826271817, 0.9769599668647369, 0.9711674683079369]"
35037,"[0.9739087523123693, 0.9769617819758847]"
32343,[0.9775428996535886]
37827,[12.631853798422025]
26721,[0.9758342864655876]
76291,[0.9805831042831908]
18289,[0.9708595157608751]
3914,[11.38672530905037]
70601,[0.9926851113322851]
11339,"[0.9733747531801724, 1.479985825117806, 0.9695964963145534, 0.9749336938842232]"
41325,[0.9778710349437155]
11102,"[0.9739428233838419, 0.9719647025952826]"
10090,"[0.9844892743180093, 0.9766208230750272]"
16892,[0.9711977410606759]
19634,[0.9846685579176234]
5922,"[0.975842706983617, 0.9749463019048629, 0.9767558835851249]"
6361,[0.9963417578126222]
18933,[0.9738796794228599]
8106,[0.9743387971861776]
36097,[0.9729015892353708]
43117,"[0.9707253466528495, 0.9706719689743758]"
5475,"[0.971240470567619, 0.9755921831497661]"
33997,"[0.977057509936234, 0.9786946176006898]"
25459,[0.984630225527478]
8687,[0.9859761313660584]
15950,[0.9739150891373889]
1481,[0.993194851163039]
76075,[10.591273655752348]
26606,[0.9847546135608678]
18671,[0.9698953525322352]
25922,"[10.130929316566904, 0.9724114340005924, 1.0106529204056467, 0.9718906490238655, 0.9697691242457512, 1.0037499878948473]"
16087,[0.971946924017974]
12669,[5.04494738057847]
68671,[0.9789626711254709]
33616,[0.9755575953370215]
12695,[0.9798210168925546]
78017,"[0.9755475255243917, 0.9748270256690617, 0.9783391356096911, 13.9805290088265]"
17818,[0.9795466284477243]
39812,[0.9831129790132959]
44667,[0.9687801075936832]
20485,[0.975916989554315]
23640,[0.9882909777858048]
38858,"[0.976950939358342, 0.9697488977427006]"
29734,"[0.9866190415547537, 0.9924236667440397, 1.011876401815177, 9.534493864919392]"
9442,"[0.9763828903997995, 0.9735437552220995, 1.0283243556740098]"
15804,[0.9966831935808801]
43718,[0.9736389410761204]
38053,[0.9741304146765715]
8175,[0.9690976469516438]
33178,"[0.9741148000771875, 0.9689303539730334]"
8348,[0.9787268521742073]
11727,[9.178074471914003]
42721,[0.9694543306016081]
14547,"[0.9881722203798217, 0.9821955985686784, 2.6100677667852326]"
25355,[0.9815928335334834]
15641,[0.973564876978307]
10943,"[1.7261741281793137, 1.0415623146251072, 0.9714448423588325, 10.385843736054063, 0.974384013696054, 9.04443863620205, 0.9791648024840264, 1.7122031056035687]"
45462,"[0.9808265755502145, 0.9945871763042168]"
17962,"[1.036000113272261, 0.9776266674239986, 0.9856913504809482, 1.0067001164745002, 0.9819417147803802]"
33452,[0.9702605890715584]
33074,[0.9756319017169257]
69270,"[0.9946602800688098, 0.9725137166078488]"
27181,[0.9670288800831324]
36165,"[0.9757225992066784, 0.9854827399947245]"
28032,[0.9841876199407908]
11615,[1.003787738609167]
71353,[0.9795654816542027]
5759,[0.9716683467577018]
13389,[0.978959053800545]
81488,[1.0051281269167893]
36298,[0.9829687241352247]
9626,[0.9711233065226033]
10751,[10.138517291726918]
2341,"[0.9753932687697549, 7.8670264027343695]"
31817,[7.074538492424387]
42557,[9.064920289524094]
29736,[0.9721544596687679]
81506,[0.9722674550482839]
28608,[10.507805391451644]
23115,[0.9816026331873335]
22731,[0.9851268160297411]
14395,[0.9750963652807588]
42149,[0.9679309953029572]
45967,"[0.9729023645759179, 0.980501322248943]"
37605,"[0.9726909877147559, 0.9660449378207345, 1.0000016434675127, 10.496242762000442, 0.9790394347243174, 0.9665575453257381, 0.9698718937919584]"
36998,[0.9703212504366969]
36379,"[0.9734090372213179, 0.9867900986008743, 9.479919195102857, 0.9865960335393874, 9.89166596561707, 0.9851693985456187]"
20750,[0.9827447050209653]
81917,"[0.9823240340134561, 0.9842152200605876]"
19730,"[0.9865116997625619, 1.0076634584080084, 0.9757715694267408, 0.9762290817003534, 0.9956623523031939]"
33804,"[0.9708239927391679, 0.9697010089676126]"
11801,"[0.9747109843999219, 0.9734658368119125]"
39519,[7.093189928093688]
6030,[8.838256523271824]
18288,[0.9837787342500633]
45361,[0.9852575503073516]
22298,[0.9741145512379435]
42055,[1.0002524687616499]
14978,[11.107353660656504]
1491,[0.9668423588986387]
70708,[0.9777153108063588]
16807,"[0.9757017014412775, 0.9728772611463874, 1.0110661083941586]"
42380,[0.9763635165927775]
35003,[0.9729213166526325]
32767,[0.9754508470739837]
21630,[0.9839025730792346]
31127,[0.9756730381479998]
43571,"[12.266817528173526, 14.54693073676629, 0.9796989623813027, 0.9754058106372705, 0.9981840793768768, 0.9773116074290009]"
17988,"[0.9711887431290076, 0.9728000429807387]"
13758,[1.025782899789075]
27706,"[0.9709299602899284, 0.972029738189872, 0.9730232267930432, 1.03564361139807, 0.9728526280065705, 0.9736918128106822, 0.9723925853666401]"
23311,[0.9780706550062905]
12698,[8.404877619037894]
82773,"[1.012825384592681, 0.9742248717095464, 1.0169431682663734]"
14103,[7.97426415083557]
24088,[0.9715212140078932]
11746,"[0.9701045039410258, 0.9705044788011092, 10.27361716523002]"
17568,"[8.929582547684655, 1.7744316608750297, 0.9725478680349154]"
8746,"[0.9831240127351417, 1.0089159172797877, 0.9851592239202552]"
19113,[0.9774566093455052]
2525,[1.002180371412764]
26102,[0.9721318893200285]
19704,[0.9837795160553737]
19198,[0.9706883181998679]
45085,[2.9704089976201575]
35909,[0.980283671156668]
38982,[0.9755464566865097]
29153,[0.9886868449232035]
69552,"[3.0483587382600086, 0.9728246004414273, 0.9757382630643749]"
20520,"[0.9729308920951384, 0.9924356241181487]"
71002,[0.978739948367348]
36668,"[8.171756884064271, 0.9721803999054547]"
16795,[0.9856172956996333]
10654,[0.9726826022661738]
9049,[1.0741407345491392]
5744,[0.9804155283780586]
20375,"[7.02972827057153, 0.9706361409539092, 0.981148858017385, 9.880914216687112, 10.09807345467519]"
81630,"[0.9912741671494649, 1.0039937169794297, 7.859749428666848, 0.9848753880502633]"
12271,[0.9731797404648708]
30673,"[11.219632670767705, 0.9828029748273587]"
34378,[7.40410593135775]
44438,[0.964237465109608]
74404,[0.9713072817534428]
41067,[0.9747100944607022]
77949,[9.76555021143134]
39445,[11.05340362067975]
21377,[0.9840829803098824]
74668,"[0.97993153139746, 1.043097507645372]"
14440,[0.9665150906850416]
13061,[0.9649778262499471]
25671,[0.9711757944412568]
70550,[1.0135950330519818]
965,[0.985673656477729]
7275,[0.9737397451773835]
13469,[0.9895869395297554]
20104,[0.9810633752957285]
30323,[0.9782256578688694]
31081,[0.972233830854599]
3340,[5.013230401184257]
76249,[0.9852954398179128]
77151,[2.208781838396877]
39603,[10.671966376797734]
81968,"[0.9928927841769069, 0.9826211651215173, 0.9877004907251643]"
33085,"[0.9774858881082619, 13.047997429202473]"
978,"[0.971067215783251, 0.9765100940633022]"
1610,[0.9754721195835118]
31180,[0.9762395407763382]
17079,"[9.981317866685215, 8.998333019940162]"
16626,[0.9732736785583179]
37249,[15.215086448399624]
31626,"[0.9771656572214489, 0.9784955865634816, 8.014989289909636]"
74501,[0.9730814729936603]
19814,"[0.9701409851979027, 0.9752285926646415]"
16134,[0.972549943008166]
453,[0.9796346141119185]
73432,[0.9739275370026174]
38441,[0.9722226576288832]
9715,"[0.9790582313193691, 2.5080150818853584, 2.0896234946675434]"
32148,[0.9744959698755985]
70188,[0.9889178027906648]
44816,"[7.874206538786654, 0.9808946836983852]"
78550,[1.0015555927601973]
23862,"[0.9712834673424571, 0.974712922699934]"
45909,[0.9693424998466521]
44225,[0.9759580530760391]
77626,[0.9816578357218161]
41185,[0.9786043808210899]
75429,[0.9725812638091387]
42843,[12.526298415787181]
21209,[0.9820365743265346]
36669,[0.9753913013694332]
23034,[0.9919299092839329]
70570,"[0.988711244646436, 7.584665711152719]"
302,[0.9720628998794877]
20443,"[9.735533326614272, 0.9834726624992501, 0.9814338392612888]"
27847,[0.9717754481052547]
45468,"[0.9740850189047929, 11.223715432634807]"
2195,[0.972956023709845]
32658,[0.9726350534148349]
43588,[0.9817042773021184]
20322,"[0.9730481339114178, 10.984715449390247]"
22352,"[10.641408151856744, 0.9810013563507252]"
39048,[0.9739834998283394]
19848,[0.9794866717234897]
30795,[0.9709943839996488]
40136,[0.9717278116183162]
41673,[1.7622949205654266]
33108,[0.9726377570946683]
82384,"[0.9670179300716858, 0.9730450905786572]"
17522,[0.9677476033721489]
41062,[0.979742465684576]
43346,[0.9813041621665597]
69201,[5.183904517558891]
25273,[0.9743975088168337]
9359,[0.9773242266328167]
12430,[0.9754220171056567]
35251,[0.9753243383721544]
35971,[0.9682338996363655]
1395,"[1.0313231115821324, 0.9803436003584453]"
26144,"[9.957818578172436, 0.9717564196437088, 0.9705164323661936]"
7088,[0.9713814167262295]
69961,"[0.9702289819505879, 0.9700084531453191]"
7870,[0.97213161152799]
70576,[0.9711633915699885]
75642,[9.442628108678726]
33784,[0.9778616208929762]
12191,[0.9809367730865971]
1174,"[0.9996040192427843, 0.9751686855476207]"
43862,[0.9744121294489229]
30743,[0.9852155122573935]
70083,[0.9835479044295214]
32523,[0.9784960348404735]
21854,[0.9786424176429878]
20234,[0.9797917036329922]
32037,[0.975871604581774]
18236,"[2.6826233169409046, 1.8425825837295071, 0.9907401813712635]"
24835,[0.9802993884883933]
14298,[0.970925652101244]
81792,[0.9723485722348261]
38856,[0.9754271216445054]
32935,[0.9808227441348278]
8427,[1.005284241756334]
19627,[5.315377795311584]
69597,[0.9770686896668842]
28867,[7.368939010237183]
25118,[1.8555859100989895]
27032,"[9.666714562553652, 0.9851418320921002, 0.9921675194944238, 1.7619442862439127, 0.9717853319821216]"
18764,[0.9760960378511429]
82207,"[0.96913871814075, 0.9757518536812853]"
7460,[33.842209067539486]
11103,[0.987947557751475]
22102,[0.9730082364516601]
72000,"[0.9782357451830519, 0.9784858290622634]"
28029,[0.9714836432504786]
14862,[0.974102085999904]
11880,[0.9832598699881823]
38594,[0.9723941170648893]
33938,"[0.9777781865303222, 0.9761085544470905]"
5925,"[0.9771128104015754, 1.0807198429256162]"
31464,[0.9940903955297009]
32302,"[1.7150851149609874, 1.6430943926203023, 0.9834020578502867, 0.9898818287805407, 0.9822271582254668, 0.9749720171450807]"
45053,[0.9822059047131356]
70476,[0.9891300099010454]
18887,[0.9743276019466888]
40334,[0.9733474637316594]
34658,[0.9747077220207365]
42086,[0.9737235103658952]
78437,[1.7139383423890782]
72,"[0.9804493254746975, 16.415335407295547]"
68802,[0.9727586677435354]
17026,[1.0397515644234183]
30988,[0.9727709599267937]
15084,"[0.9727970423064723, 0.99479834714078, 0.9953840105958647]"
6325,[0.9728499544238082]
75660,[0.9829062071434566]
37353,[11.063741097650274]
